Interannual variation of monthly mean sea level and the 5-month centered average.
The values are in meters.  The average seasonal cycle and the relative sea level trend have been removed.
Column values are the Year; Month; Interannual Variation; and the 5-month centered average of the Interannual Variation.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Interannual_Variation, Five_Month_Average
1950,6,-0.065,
1950,7,-0.061,
1950,8,-0.004,-0.006,
1950,9,0.057,0.010,
1950,10,0.041,0.037,
1950,11,0.016,0.033,
1950,12,0.072,0.029,
1951,1,-0.021,0.047,
1951,2,0.037,0.044,
1951,3,0.127,0.041,
1951,4,0.002,0.069,
1951,5,0.060,0.064,
1951,6,0.118,0.048,
1951,7,0.010,0.044,
1951,8,0.049,0.053,
1951,9,-0.018,0.026,
1951,10,0.106,0.018,
1951,11,-0.019,0.017,
1951,12,-0.029,0.037,
1952,1,0.044,0.030,
1952,2,0.082,0.040,
1952,3,0.074,0.056,
1952,4,0.032,0.048,
1952,5,0.047,0.029,
1952,6,0.005,0.006,
1952,7,-0.010,0.000,
1952,8,-0.041,-0.022,
1952,9,0.001,-0.013,
1952,10,-0.066,0.017,
1952,11,0.049,0.053,
1952,12,0.142,0.053,
1953,1,0.140,0.075,
1953,2,-0.002,0.064,
1953,3,0.044,0.044,
1953,4,-0.004,0.018,
1953,5,0.045,0.028,
1953,6,0.009,0.032,
1953,7,0.049,0.028,
1953,8,0.061,0.030,
1953,9,-0.025,0.038,
1953,10,0.054,0.010,
1953,11,0.050,0.004,
1953,12,-0.091,0.012,
1954,1,0.032,-0.011,
1954,2,0.017,-0.027,
1954,3,-0.064,0.004,
1954,4,-0.027,0.006,
1954,5,0.065,0.009,
1954,6,0.040,0.016,
1954,7,0.030,0.013,
1954,8,-0.026,-0.007,
1954,9,-0.041,-0.022,
1954,10,-0.039,-0.044,
1954,11,-0.034,-0.025,
1954,12,-0.078,-0.023,
1955,1,0.070,-0.030,
1955,2,-0.033,-0.008,
1955,3,-0.078,0.010,
1955,4,0.078,0.004,
1955,5,0.014,0.014,
1955,6,0.039,0.055,
1955,7,0.019,0.049,
1955,8,0.124,0.051,
1955,9,0.051,0.045,
1955,10,0.023,0.036,
1955,11,0.010,0.043,
1955,12,-0.028,0.030,
1956,1,0.157,0.027,
1956,2,-0.011,0.028,
1956,3,0.005,0.030,
1956,4,0.015,0.002,
1956,5,-0.018,0.006,
1956,6,0.018,0.015,
1956,7,0.008,0.026,
1956,8,0.052,0.063,
1956,9,0.070,0.064,
1956,10,0.165,0.063,
1956,11,0.027,0.047,
1956,12,0.002,0.051,
1957,1,-0.028,0.042,
1957,2,0.089,0.026,
1957,3,0.123,0.027,
1957,4,-0.056,0.036,
1957,5,0.007,0.017,
1957,6,0.020,-0.002,
1957,7,-0.006,0.002,
1957,8,0.027,0.004,
1957,9,-0.038,-0.000,
1957,10,0.016,-0.009,
1957,11,0.001,0.001,
1957,12,-0.049,0.002,
1958,1,0.073,0.034,
1958,2,-0.032,0.061,
1958,3,0.179,0.074,
1958,4,0.134,0.063,
1958,5,0.018,0.059,
1958,6,0.018,0.025,
1958,7,-0.051,-0.009,
1958,8,0.007,0.010,
1958,9,-0.037,0.012,
1958,10,0.112,0.028,
1958,11,0.026,0.013,
1958,12,0.031,0.004,
1959,1,-0.068,-0.031,
