Interannual variation of monthly mean sea level and the 5-month centered average.
The values are in meters.  The average seasonal cycle and the relative sea level trend have been removed.
Column values are the Year; Month; Interannual Variation; and the 5-month centered average of the Interannual Variation.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Interannual_Variation, Five_Month_Average
1967,2,-0.097,
1967,3,0.098,
1967,4,0.110,0.027,
1967,5,-0.013,0.047,
1967,6,0.037,0.029,
1967,7,0.005,0.017,
1967,8,0.006,0.030,
1967,9,0.052,0.023,
1967,10,0.052,0.018,
1967,11,0.002,0.016,
1967,12,-0.022,0.027,
1968,1,-0.002,0.026,
1968,2,0.103,-0.002,
1968,3,0.048,0.010,
1968,4,-0.135,0.009,
1968,5,0.035,-0.007,
1968,6,-0.007,0.002,
1968,7,0.027,0.034,
1968,8,0.091,0.042,
1968,9,0.024,0.062,
1968,10,0.076,0.093,
1968,11,0.093,0.103,
1968,12,0.182,0.136,
1969,1,0.140,0.113,
1969,2,0.190,0.119,
1969,3,-0.039,0.093,
1969,4,0.122,0.079,
1969,5,0.051,0.037,
1969,6,0.073,0.038,
1969,7,-0.024,0.020,
1969,8,-0.033,0.021,
1969,9,0.034,0.007,
1969,10,0.056,0.038,
1969,11,-0.000,0.076,
1969,12,0.131,0.082,
1970,1,0.159,0.066,
1970,2,0.066,0.043,
1970,3,-0.029,0.004,
1970,4,-0.112,-0.032,
1970,5,-0.067,-0.049,
1970,6,-0.017,-0.047,
1970,7,-0.020,-0.037,
1970,8,-0.020,-0.019,
1970,9,-0.063,0.003,
1970,10,0.026,0.037,
1970,11,0.089,0.033,
1970,12,0.151,0.026,
1971,1,-0.041,0.030,
1971,2,-0.097,0.023,
1971,3,0.049,-0.008,
1971,4,0.052,0.011,
1971,5,-0.001,0.034,
1971,6,0.051,0.034,
1971,7,0.021,0.028,
1971,8,0.047,0.019,
1971,9,0.024,-0.002,
1971,10,-0.049,-0.003,
1971,11,-0.051,-0.025,
1971,12,0.014,-0.023,
1972,1,-0.061,-0.005,
1972,2,0.034,0.015,
1972,3,0.041,0.011,
1972,4,0.046,0.030,
1972,5,-0.006,0.033,
1972,6,0.034,0.033,
1972,7,0.048,0.030,
1972,8,0.044,0.030,
1972,9,0.031,0.031,
1972,10,-0.005,0.029,
1972,11,0.039,0.029,
1972,12,0.034,0.033,
1973,1,0.047,0.030,
1973,2,0.048,-0.012,
1973,3,-0.016,-0.030,
1973,4,-0.172,-0.046,
1973,5,-0.057,-0.067,
1973,6,-0.032,-0.078,
1973,7,-0.056,-0.052,
1973,8,-0.071,-0.047,
1973,9,-0.041,-0.016,
1973,10,-0.035,0.019,
1973,11,0.126,0.029,
1973,12,0.114,0.027,
1974,1,-0.019,0.054,
1974,2,-0.051,0.037,
1974,3,0.101,0.012,
1974,4,0.039,0.015,
1974,5,-0.013,0.040,
1974,6,0.000,0.015,
1974,7,0.073,0.004,
1974,8,-0.027,-0.017,
1974,9,-0.013,-0.029,
1974,10,-0.120,-0.058,
1974,11,-0.060,-0.072,
1974,12,-0.068,-0.065,
1975,1,-0.101,-0.043,
1975,2,0.022,-0.044,
1975,3,-0.008,-0.046,
1975,4,-0.067,-0.042,
1975,5,-0.077,-0.052,
1975,6,-0.082,-0.063,
1975,7,-0.024,-0.063,
1975,8,-0.063,-0.041,
1975,9,-0.067,-0.028,
1975,10,0.034,-0.049,
1975,11,-0.019,-0.063,
1975,12,-0.131,-0.059,
1976,1,-0.134,-0.086,
