DATE,PRCP,NROWS,MULT
1950,2501.0,365,1.0
1951,3649.0,365,1.459016393442623
1952,1873.0,366,0.5132913126884078
1953,3355.0,365,1.791243993593166
1954,1901.0,365,0.5666169895678093
1955,3725.0,365,1.9594950026301947
1956,2539.0,366,0.6816107382550336
1957,2317.0,365,0.9125640015754234
1958,3714.0,365,1.6029348295209322
1959,3067.0,365,0.8257942918686053
1960,3562.0,366,1.1613955004890772
1961,3255.0,365,0.9138124649073555
1962,2224.0,365,0.6832565284178187
1963,6004.0,365,2.699640287769784
1964,2873.0,366,0.4785143237841439
1965,3090.0,365,1.0755308040375913
1966,3500.0,365,1.132686084142395
1967,3062.0,365,0.8748571428571429
1968,3563.0,366,1.1636185499673417
1969,1253.0,365,0.3516699410609037
1970,3067.0,365,2.4477254588986432
1971,3158.0,364,1.029670687968699
1972,2534.0,366,0.8024065864471184
1973,2962.0,364,1.1689029202841357
1974,4520.0,365,1.5259959486833221
1975,2920.0,359,0.6460176991150443
1976,2644.0,366,0.9054794520547945
1977,2246.0,365,0.8494704992435703
1978,4032.0,335,1.7951914514692786
1979,1902.0,365,0.47172619047619047
1980,2554.0,366,1.3427970557308098
1981,3974.0,365,1.5559906029757244
1982,2806.0,365,0.7060895822848515
1983,2882.0,365,1.0270848182466144
1984,3782.0,366,1.3122831367106176
1985,2496.0,365,0.6599682707562137
1986,2760.0,365,1.1057692307692308
1987,2472.0,365,0.8956521739130435
1988,3362.0,366,1.360032362459547
1989,3416.0,365,1.0160618679357525
1990,3288.0,365,0.9625292740046838
1991,2066.0,363,0.628345498783455
1992,3630.0,366,1.7570183930300096
1993,2420.0,365,0.6666666666666666
1994,1838.0,365,0.759504132231405
1995,4000.0,365,2.176278563656148
1996,2876.0,366,0.719
1997,2756.0,365,0.9582753824756607
1998,2768.0,365,1.004354136429608
1999,3238.0,363,1.1697976878612717
2000,3626.0,366,1.1198270537368746
2001,2556.0,362,0.7049089906232764
2002,1732.0,365,0.6776212832550861
2003,3210.0,352,1.8533487297921478
2004,2394.0,364,0.7457943925233644
2005,2860.0,364,1.1946532999164579
2006,3555.0,361,1.243006993006993
2007,2034.0,365,0.5721518987341773
2008,2805.0,361,1.37905604719764
2009,3273.0,365,1.1668449197860962
2010,1401.0,365,0.42804766269477545
2011,3829.0,365,2.733047822983583
2012,3177.0,365,0.8297205536693654
2013,2516.0,365,0.7919420837267863
2014,2105.0,350,0.8366454689984102
2015,3598.0,365,1.7092636579572447
2016,3020.0,366,0.839355197331851
2017,3082.0,365,1.0205298013245032
2018,2707.0,365,0.8783257624918884
2019,2051.0,365,0.7576653121536756
2020,2935.0,366,1.4310092637737688
