DATE,PRCP,TMAX,TMIN,NROWS
1973,4536.0,210.0,125.66539923954373,358
1974,11934.0,286.0,122.83464566929133,356
1975,340.0,320.0,122.97709923664122,355
1976,5557.0,256.6666666666667,122.82608695652173,366
1977,12985.0,286.0,119.38144329896907,365
1978,8389.0,315.2173913043478,120.1056338028169,364
1979,19851.0,268.56353591160223,120.93548387096774,365
1980,7412.0,275.29761904761904,120.20202020202021,366
1981,6697.0,269.8918918918919,132.67361111111111,365
1982,10887.0,252.32116788321167,168.0744680851064,352
1983,4839.0,263.93333333333334,121.37916666666666,364
1984,8443.0,249.03389830508473,119.66371681415929,366
1985,439.0,283.0,,363
1986,270.0,,176.77777777777777,363
1987,4984.0,272.1029411764706,120.63470319634703,339
1988,5027.0,271.0486111111111,129.24567474048442,346
1989,5067.0,271.905325443787,127.76515151515152,343
1990,5676.0,272.88194444444446,124.705,338
1991,8929.0,266.3262411347518,128.4978540772532,357
1992,10490.0,269.70676691729324,129.045,361
1993,5689.0,263.0833333333333,122.64117647058823,362
1994,11433.0,278.5,129.84761904761905,365
1995,8582.0,271.0753424657534,124.15625,365
1996,7015.0,266.46268656716416,124.321608040201,366
1997,3952.0,279.9463087248322,140.90079365079364,365
1998,5694.0,257.8716216216216,127.6470588235294,365
1999,4715.0,258.3354037267081,125.60204081632654,364
2000,5158.0,244.51282051282053,129.62876254180603,365
2001,2654.0,265.7692307692308,128.3969230769231,365
2002,4188.0,280.57142857142856,132.87155963302752,365
2003,11260.0,281.56774193548387,129.53846153846155,363
2004,8897.0,271.91279069767444,130.77881619937693,366
2005,4621.0,280.4625,127.00331125827815,365
2006,6566.0,273.4886363636364,134.96036585365854,365
2007,7131.0,264.09638554216866,121.9933110367893,364
2008,9820.0,272.08484848484846,124.09463722397476,366
2009,6776.0,280.5090909090909,126.89814814814815,363
2010,7770.0,266.50331125827813,126.87337662337663,365
2011,5094.0,269.94193548387096,130.29652996845425,365
2012,5595.0,278.0246913580247,136.1271676300578,366
2013,4942.0,283.3139534883721,132.99099099099098,365
2014,7019.0,275.23125,136.6888888888889,365
2015,6776.0,269.54491017964074,139.7868338557994,365
2016,8221.0,258.98765432098764,132.23899371069183,366
2017,9762.0,277.86309523809524,135.84590163934425,365
2018,8844.0,269.28205128205127,129.58762886597938,365
2019,9815.0,271.251497005988,130.10333333333332,365
2020,14461.0,291.35928143712573,132.62420382165604,366
2021,6786.0,279.41358024691357,132.3904761904762,363
2022,6491.0,282.4035087719298,123.54545454545455,365
2023,5524.0,293.1635220125786,151.8786610878661,365
2024,6276.0,270.62015503875966,132.88541666666666,291
