DATE,PRCP,NROWS
1750,3618.0,39
1967,1289.0,31
1968,10249.0,152
1970,4117.0,334
1974,10806.0,257
1975,302.0,153
1984,12450.0,364
1985,1341.0,365
1986,2748.0,365
1987,7977.0,363
1988,8401.0,366
1989,5119.0,365
1990,6038.0,365
1991,8951.0,365
1992,4065.0,121
1993,4240.0,181
1994,2758.0,61
1995,4330.0,90
1996,2652.0,31
1997,8707.0,365
1998,9804.0,334
1999,9372.0,210
2000,6423.0,262
2001,8770.0,324
2002,8738.0,360
2003,8651.0,359
2004,8628.0,245
2005,8800.0,190
2006,11942.0,212
2007,8627.0,364
2008,12165.0,365
2009,8547.0,336
2010,9782.0,365
2011,18602.0,334
2012,9410.0,366
2013,8820.0,363
2014,9580.0,211
2015,6141.0,259
2016,10201.0,344
2017,14950.0,307
2018,6962.0,363
2019,6084.0,365
2020,10345.0,365
2021,9120.0,364
2022,12473.0,365
2023,7655.0,361
