DATE,PRCP,TMAX,TMIN,NROWS
1750,1118.0,,,38
1974,1662.0,223.24183006535947,66.81045751633987,153
1975,2828.0,239.56712328767122,85.76986301369863,365
1976,1895.0,232.1639344262295,79.36612021857924,366
1977,1954.0,237.54794520547946,82.9068493150685,365
1978,2944.0,228.56164383561645,85.78082191780823,365
1979,3816.0,236.94246575342467,88.66849315068494,365
1980,2554.0,241.65300546448088,83.35792349726776,366
1981,2826.0,238.36986301369862,88.95068493150686,365
1982,1138.0,243.29041095890412,84.98082191780821,365
1983,3052.0,230.81917808219177,92.34246575342466,365
1984,1874.0,229.4863387978142,83.78846153846153,366
1985,2266.0,233.96164383561643,89.56438356164384,365
1986,2670.0,227.1972602739726,85.46575342465754,365
1987,2724.0,278.125,111.15833333333333,365
1988,2672.0,242.54098360655738,95.37704918032787,366
1989,1952.0,234.3835616438356,91.43013698630136,365
1990,2330.0,239.83287671232875,92.52328767123288,365
1991,2466.0,238.76986301369863,89.3972602739726,365
1992,5284.0,221.79234972677597,87.15027322404372,366
1993,2582.0,239.48767123287672,87.01917808219179,365
1994,1292.0,242.62739726027397,82.59452054794521,365
1995,3452.0,227.32054794520548,86.33972602739726,365
1996,3766.0,228.60928961748633,80.45901639344262,366
1997,2540.0,237.14794520547946,85.2958904109589,365
1998,3382.0,233.86027397260273,80.26301369863013,365
1999,3094.0,239.5521978021978,86.75890410958904,365
2000,3164.0,240.43715846994536,95.01092896174863,366
2001,2498.0,236.21917808219177,87.47107438016529,365
2002,1416.0,241.85479452054796,78.54520547945205,365
2003,3064.0,262.9072847682119,106.64900662251655,365
2004,2338.0,,,366
2005,3560.0,,,365
2006,1582.0,,,365
2007,2638.0,,,364
2008,1928.0,,,365
2009,2598.0,,,365
2010,4683.0,,,340
2011,4070.0,,,365
2012,2169.0,,,363
2013,2260.0,,,303
2014,3264.0,,,363
2015,2362.0,,,337
2016,3607.0,,,363
2017,2478.0,,,152
2018,1308.0,,,53
2019,1390.0,,,56
2020,3221.0,,,71
2021,1386.0,,,57
2022,2814.0,,,83
2023,2002.0,,,69
