DATE,PRCP,TMAX,TMIN,NROWS
1956,0.0,-117.58333333333333,-194.21052631578948,95
1957,0.0,-194.31413612565444,-294.9255319148936,241
1980,10.0,-3.076923076923077,-69.28571428571429,85
1981,18.0,-96.66666666666667,-171.35593220338984,219
1982,10.0,-57.82,-117.07142857142857,153
1983,141.0,-91.90839694656489,-177.85064935064935,246
1984,140.0,-82.71428571428571,-160.23711340206185,298
1985,271.0,-85.32584269662921,-161.46391752577318,297
1986,334.0,-92.81818181818181,-148.57615894039736,274
1987,231.0,-99.13440860215054,-168.684,312
1988,311.0,-84.14798206278027,-171.49454545454546,353
1989,276.0,-86.86294416243655,-166.22018348623854,316
1990,308.0,-80.2479674796748,-168.43984962406014,353
1991,0.0,-92.12121212121212,-162.4382470119522,339
1992,0.0,-99.26267281105991,-179.3723849372385,319
1993,114.0,-101.80851063829788,-183.30388692579504,352
1994,40.0,-2.5555555555555554,-78.78048780487805,51
1995,202.0,-85.18378378378378,-160.98069498069498,323
1996,1084.0,-91.86320754716981,-174.68076923076924,319
1997,3181.0,-107.82564102564102,-203.6818181818182,261
1998,357.0,0.8888888888888888,-79.61904761904762,24
1999,384.0,-107.6086956521739,-183.5921052631579,174
2000,876.0,-98.11046511627907,-179.74766355140187,233
2001,692.0,-84.69724770642202,-157.0036496350365,321
2002,417.0,-10.897435897435898,-79.77358490566037,54
2003,1145.0,-101.48,-183.31788079470198,190
2004,1605.0,-112.94166666666666,-184.79289940828403,204
2005,3383.0,-87.76190476190476,-165.57818181818183,354
2006,2765.0,-86.76419213973799,-173.56896551724137,345
2007,3114.0,-91.40160642570281,-178.60855263157896,362
2008,1908.0,-93.99547511312217,-175.68300653594773,340
2009,4361.0,-94.12809917355372,-175.90102389078498,355
2010,3303.0,-86.48031496062993,-158.44117647058823,362
2011,582.0,-102.31858407079646,-177.44051446945338,361
2012,3489.0,-89.96934865900383,-169.53,364
2013,1546.0,-81.54954954954955,-163.15463917525773,357
2014,2783.0,-109.20197044334975,-173.3758865248227,341
2015,2541.0,-96.30373831775701,-170.03249097472923,331
2016,2172.0,-89.23970037453184,-171.33443708609272,360
2017,2239.0,-89.95019157088123,-170.68652037617554,363
2018,3055.0,-80.0952380952381,-155.81063122923587,364
2019,2750.0,-92.95131086142322,-163.84466019417476,365
2020,2069.0,-9.351851851851851,-168.42857142857142,366
2021,1892.0,-99.60245901639344,-169.91194968553458,357
2022,1667.0,-83.76209677419355,-162.61935483870968,364
2023,1825.0,-69.41111111111111,-150.22977346278316,365
2024,2352.0,-90.93548387096774,-171.3512396694215,287
