DATE,PRCP,TMAX,TMIN,NROWS
1973,702.0,,189.52380952380952,57
1974,1429.0,,,107
1975,627.0,,198.0,145
1976,1259.0,280.0,193.14814814814815,184
1977,4784.0,,195.4980079681275,325
1978,6876.0,330.0,199.53191489361703,354
1979,5060.0,350.0,198.54901960784315,352
1980,3577.0,318.0,202.84263959390864,349
1981,10236.0,313.3333333333333,199.16666666666666,350
1982,5943.0,316.11475409836066,200.872,354
1983,3739.0,310.8435754189944,197.59259259259258,347
1984,3551.0,302.0,192.83870967741936,343
1985,8031.0,323.0,199.25,330
1986,1997.0,313.9836065573771,183.72602739726028,272
1987,1650.0,314.93333333333334,193.4406779661017,155
1988,5583.0,317.2676056338028,193.50735294117646,151
1989,4438.0,309.9230769230769,191.48461538461538,138
1990,5764.0,307.65656565656565,197.58373205741626,232
1991,13489.0,309.3297491039427,196.83219178082192,351
1992,12808.0,308.1392405063291,195.6,290
1993,12818.0,306.5,194.32472324723247,340
1994,13048.0,314.7939189189189,198.53405017921148,355
1995,14397.0,318.6688524590164,201.5115511551155,361
1996,14455.0,305.69056603773583,205.44483985765123,353
1997,15373.0,305.7079207920792,210.11832061068702,362
1998,11773.0,,182.63636363636363,361
1999,5584.0,330.0,175.17283950617283,348
2000,13336.0,313.0,194.2611464968153,365
2001,21377.0,317.26984126984127,197.05177993527508,361
2002,16268.0,317.55855855855856,204.65976331360946,361
2003,16710.0,319.15625,199.5939393939394,362
2004,14614.0,317.13978494623655,199.95705521472394,349
2005,15317.0,325.5748987854251,200.72424242424242,362
2006,17790.0,319.5062761506276,202.07645259938838,364
2007,13171.0,316.45454545454544,197.8190789473684,362
2008,15465.0,310.4355400696864,201.88039867109634,344
2009,30517.0,312.14161849710985,203.98456790123456,364
2010,21736.0,319.0853658536585,207.12063492063493,365
2011,15079.0,319.9372693726937,210.61858974358975,365
2012,17537.0,319.80804953560374,215.78308823529412,366
2013,12163.0,315.7903225806452,213.52329749103941,362
2014,16961.0,316.1021671826625,214.57859531772576,362
2015,13174.0,324.09939759036143,221.9153605015674,365
2016,14710.0,321.1666666666667,214.6614906832298,366
2017,16224.0,319.41420118343194,215.73099415204678,365
2018,15495.0,314.919881305638,212.24846625766872,365
2019,18639.0,311.04761904761904,212.0609756097561,365
2020,13338.0,338.57142857142856,208.1331058020478,321
2021,16091.0,334.2083333333333,211.74496644295303,340
2022,15277.0,337.5040650406504,202.22222222222223,365
2023,13923.0,345.39112903225805,220.62576687116564,365
2024,5601.0,353.51075268817203,216.86574074074073,288
