DATE,PRCP,TMAX,TMIN,NROWS
1984,241.0,295.68,169.43478260869566,31
1985,0.0,309.72727272727275,190.16666666666666,21
1986,0.0,313.43939393939394,203.54347826086956,99
1987,3571.0,320.37931034482756,211.12727272727273,150
1988,2751.0,320.6137566137566,207.1153846153846,194
1989,4326.0,322.6614583333333,206.33333333333334,195
1990,2185.0,317.24719101123594,204.70520231213874,189
1991,5766.0,317.4,207.93467336683418,207
1992,6602.0,305.96067415730334,209.08823529411765,187
1993,7608.0,315.7450980392157,204.2871287128713,213
1994,9488.0,323.52153110047846,205.4129353233831,215
1995,15347.0,326.9872340425532,199.5677966101695,242
1996,10742.0,319.8063063063063,200.02283105022832,228
1997,6241.0,317.7054794520548,212.66666666666666,158
2000,0.0,344.0,192.0,1
2001,3819.0,327.4927536231884,197.67175572519085,139
2002,10227.0,327.468,211.95934959349594,259
2003,9104.0,323.68679245283016,206.9802371541502,268
2004,9387.0,321.3795918367347,204.06198347107437,248
2005,5369.0,332.9856459330144,207.76470588235293,211
2006,6042.0,326.77272727272725,205.95302013422818,154
2007,8140.0,322.19921875,198.0199203187251,256
2008,6779.0,322.890350877193,204.4932735426009,228
2009,12525.0,321.8343949044586,211.64473684210526,318
2010,7955.0,329.9166666666667,202.55263157894737,314
2011,9386.0,326.44444444444446,211.52301255230125,245
2012,10980.0,325.63009404388714,208.90032154340835,319
2013,11394.0,321.0110294117647,208.10861423220973,276
2014,12858.0,318.4193548387097,214.98376623376623,315
2015,5705.0,328.01908396946567,212.77470355731225,264
2016,10882.0,324.97846153846154,206.009375,331
2017,9632.0,327.3181818181818,208.35294117647058,333
2018,9750.0,317.3676012461059,209.2443729903537,323
2019,9057.0,318.3421052631579,209.2803738317757,334
2020,3608.0,350.7586206896552,227.10084033613447,124
2021,2389.0,318.90140845070425,210.65432098765433,81
2022,2559.0,347.52222222222224,204.27058823529413,94
2023,5664.0,345.2567567567568,215.6045197740113,185
2024,4271.0,350.53982300884957,212.9078014184397,168
