DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,3305.0,-2.164383561643836,-97.30684931506848,365,1.0
1951,3320.0,-1.0465753424657531,-96.6109589041096,365,1.0045385779122542
1952,3521.0,25.83060109289617,-67.25409836065573,366,1.0605421686746987
1953,3840.0,25.246575342465757,-65.76986301369863,365,1.0905992615734166
1954,3862.0,14.616438356164384,-82.09041095890412,365,1.0057291666666666
1955,2713.0,1.96978021978022,-92.30410958904108,365,0.702485758674262
1956,3657.0,3.3852459016393444,-87.35245901639344,366,1.3479542941393292
1957,3759.0,10.652054794520549,-83.16438356164383,365,1.0278917145200985
1958,3677.0,17.024657534246575,-70.75068493150685,365,0.9781856876828944
1959,3102.0,2.8273972602739725,-88.93972602739726,365,0.8436225183573566
1960,4796.0,10.560109289617486,-84.56557377049181,366,1.5460992907801419
1961,4868.0,1.63013698630137,-98.5095890410959,365,1.0150125104253545
1962,4409.0,11.62191780821918,-92.8054794520548,365,0.9057107641741988
1963,4721.0,19.41620111731844,-82.14525139664805,358,1.0707643456566114
1964,3595.0,7.270491803278689,-90.84972677595628,366,0.761491209489515
1965,3382.0,12.693150684931506,-88.83013698630137,365,0.9407510431154381
1966,3838.0,2.3424657534246576,-103.4109589041096,365,1.1348314606741574
1967,2635.0,16.101369863013698,-91.37534246575342,365,0.6865554976550287
1968,3736.0,8.398907103825136,-89.34699453551913,366,1.4178368121442124
1969,2345.0,20.317808219178083,-82.68219178082192,365,0.6276766595289079
1970,2711.0,16.465753424657535,-83.43013698630136,365,1.1560767590618337
1971,2504.0,20.356164383561644,-82.56438356164384,365,0.9236444116562155
1972,3208.0,-0.081967213114754,-99.55737704918032,366,1.281150159744409
1973,3493.0,29.216438356164385,-80.18956043956044,365,1.0888403990024937
1974,3613.0,6.728767123287671,-94.34794520547943,365,1.0343544231319783
1975,3415.0,14.717808219178082,-88.79452054794521,365,0.9451978964849156
1976,3247.0,31.36065573770492,-71.21311475409836,366,0.950805270863836
1977,2344.0,26.145205479452056,-72.78630136986301,365,0.7218971358176779
1978,2748.0,14.92876712328767,-82.38630136986302,365,1.1723549488054608
1979,2188.0,15.713068181818182,-83.73011363636364,362,0.7962154294032023
1980,2870.0,31.308743169398905,-68.75956284153006,366,1.3117001828153565
1981,3111.0,42.8027397260274,-56.86027397260274,365,1.0839721254355401
1982,2601.0,0.717032967032967,-100.61263736263736,365,0.8360655737704918
1983,3030.0,2.4904109589041097,-83.4931506849315,365,1.1649365628604382
1984,4698.0,12.653005464480874,-80.35519125683061,366,1.5504950495049505
1985,3341.0,14.386301369863014,-81.77808219178083,365,0.7111536824180502
1986,3354.0,22.46027397260274,-75.71780821917808,365,1.0038910505836576
1987,3939.0,45.293150684931504,-54.38630136986301,365,1.1744186046511629
1988,5119.0,18.53551912568306,-78.1775956284153,366,1.2995684183802996
1989,3122.0,18.90684931506849,-85.35616438356165,365,0.6098847431138894
1990,3875.0,12.164383561643836,-90.92328767123288,365,1.2411915438821268
1991,4768.0,21.972602739726028,-82.02465753424657,365,1.230451612903226
1992,2651.0,28.240112994350284,-69.67796610169492,366,0.555998322147651
1993,1690.0,54.367816091954026,-48.1455938697318,365,0.6374952847981894
1994,2416.0,24.476712328767125,-85.58356164383562,365,1.429585798816568
1995,1885.0,21.074175824175825,-79.18131868131869,365,0.7802152317880795
1996,2757.0,12.683060109289617,-89.47267759562841,366,1.4625994694960212
1997,3725.0,32.31111111111111,-66.88333333333334,365,1.3511062749365252
1998,3452.0,46.43131868131868,-51.785714285714285,365,0.9267114093959732
1999,3447.0,38.41483516483517,-58.87087912087912,365,0.9985515643105446
2000,2500.0,29.42622950819672,-67.74863387978142,366,0.725268349289237
2001,4551.0,35.14794520547945,-57.24931506849315,365,1.8204
2002,3255.0,16.27123287671233,-78.28493150684932,365,0.7152274225444957
2003,3077.0,27.07123287671233,-69.15068493150685,365,0.9453149001536099
2004,1868.0,8.781420765027322,-90.67486338797814,366,0.607084822879428
2005,3786.0,33.24383561643835,-57.654794520547945,365,2.026766595289079
2006,3361.0,43.96164383561644,-52.42191780821918,365,0.8877443211833069
2007,3600.0,19.2027397260274,-72.36712328767123,365,1.0711097887533472
2008,4035.0,18.31967213114754,-76.4153005464481,366,1.1208333333333333
2009,3300.0,18.695890410958903,-76.83561643835617,365,0.8178438661710037
2010,3738.0,42.07671232876712,-51.28767123287671,365,1.1327272727272728
2011,2946.0,29.057534246575344,-68.22191780821917,365,0.7881219903691814
2012,3596.0,30.825136612021858,-68.59562841530055,366,1.2206381534283774
2013,2663.0,23.731506849315068,-74.53424657534246,365,0.7405450500556173
2014,2626.0,28.56896551724138,-87.28620689655172,365,0.9861058956064589
2015,3613.0,57.374301675977655,-63.29050279329609,365,1.3758568164508758
2016,4377.0,57.17297297297297,-53.454054054054055,366,1.211458621644063
2017,3581.0,60.90625,-66.84375,365,0.8181402787297235
2018,2979.0,47.207317073170735,-72.97560975609755,365,0.8318905333705668
2019,2592.0,37.93567251461988,-78.95906432748538,365,0.8700906344410876
2020,4228.0,27.0,-82.68508287292818,366,1.6311728395061729
