DATE,PRCP,TMAX,TMIN,NROWS
1960,4230.0,,,183
1961,5594.0,,,240
1962,1587.0,,,92
1963,1980.0,,,121
1964,2642.0,,,152
1965,2986.0,,,209
1980,1355.0,-29.86842105263158,-136.8421052631579,42
1981,9663.0,134.4578313253012,32.92424242424242,334
1982,8785.0,113.85989010989012,3.455801104972376,365
1983,13098.0,117.86501377410468,18.653846153846153,365
1984,9309.0,114.42737430167598,12.639664804469273,366
1985,10292.0,109.69529085872576,7.666666666666667,365
1986,12660.0,112.99721448467966,7.930555555555555,365
1987,9001.0,121.24641833810888,12.631578947368421,365
1988,8151.0,115.1775956284153,15.606060606060606,366
1989,8621.0,109.1138888888889,-2.008403361344538,365
1990,12711.0,125.71549295774648,20.473537604456826,365
1991,7646.0,147.2,39.391447368421055,306
1992,9505.0,107.89256198347107,9.093406593406593,366
1993,12495.0,106.99175824175825,3.4806629834254146,365
1994,11337.0,108.3011049723757,-2.863013698630137,365
1995,12792.0,114.21487603305785,4.582172701949861,365
1996,13928.0,108.7568306010929,14.603825136612022,366
1997,7469.0,100.87677725118483,-6.794258373205742,212
1998,3635.0,176.37254901960785,66.37254901960785,153
1999,10114.0,130.2403314917127,25.733516483516482,365
2000,7557.0,79.78181818181818,-10.869888475836431,283
2001,8965.0,126.16208791208791,24.380165289256198,365
2002,9564.0,120.4532967032967,26.412742382271468,365
2003,12173.0,109.49035812672176,14.684065934065934,365
2004,9727.0,113.35164835164835,13.977961432506888,366
2005,11945.0,131.0979228486647,33.212574850299404,342
2006,9458.0,175.49603174603175,84.11894273127753,256
2007,11230.0,116.52366863905326,16.52238805970149,353
2008,9922.0,120.79268292682927,22.63719512195122,354
2009,11170.0,124.27444794952682,27.92452830188679,348
2010,10765.0,131.70731707317074,42.46177370030581,356
2011,10265.0,126.70418006430869,28.75,337
2012,9735.0,138.41772151898735,44.629629629629626,346
2013,9630.0,127.3076923076923,33.83540372670807,351
2014,9920.0,119.20118343195266,25.679190751445088,361
2015,9505.0,132.27414330218068,31.50769230769231,354
2016,5135.0,155.75757575757575,49.696969696969695,244
2017,6530.0,176.2277777777778,80.22777777777777,180
2018,7350.0,101.75527426160338,6.181434599156118,237
2019,9250.0,109.4880239520958,13.269461077844312,334
2020,8835.0,143.37685459940653,46.70623145400594,337
2021,8030.0,132.9150684931507,37.69041095890411,365
2022,10490.0,127.37808219178082,27.506849315068493,365
2023,8931.0,132.9753424657534,40.78904109589041,365
2024,445.0,16.655555555555555,-57.3,90
