DATE,PRCP,TMAX,TMIN,NROWS
1952,17832.0,296.20765027322403,213.52459016393442,366
1953,32445.0,285.6456043956044,218.6043956043956,365
1954,22121.0,285.3123287671233,212.82417582417582,365
1955,14674.0,285.64931506849314,208.67397260273972,365
1956,16291.0,282.40710382513663,209.28415300546447,366
1957,25474.0,282.66301369863015,211.67945205479452,365
1958,26175.0,282.04383561643834,211.5041095890411,365
1959,18258.0,287.2246575342466,214.7972602739726,365
1960,24008.0,285.4945355191257,216.2568306010929,366
1961,21152.0,286.5452054794521,211.4931506849315,365
1962,15742.0,283.0027397260274,208.81095890410958,365
1963,19806.0,281.413698630137,204.02739726027397,365
1964,19443.0,279.0327868852459,209.83333333333334,366
1965,20157.0,284.2219178082192,211.35616438356163,365
1966,15066.0,291.14520547945204,217.04931506849314,365
1967,21419.0,277.3808219178082,206.586301369863,365
1968,15554.0,284.1912568306011,208.12568306010928,366
1969,12600.0,286.5561643835616,208.47397260273974,365
1970,27621.0,283.0602739726027,211.25205479452055,365
1971,17480.0,276.0986301369863,204.22465753424657,365
1972,31616.0,281.1584699453552,211.24043715846994,366
1973,26704.0,286.64931506849314,215.62739726027397,365
1974,23427.0,277.972602739726,205.2931506849315,365
1975,18289.0,279.9780821917808,209.63561643835615,365
1976,18740.0,281.44262295081967,209.31967213114754,366
1977,10742.0,289.03561643835616,210.42739726027398,365
1978,23261.0,283.4958904109589,212.61917808219178,365
1979,18646.0,290.95342465753424,215.7041095890411,365
1980,23464.0,289.54918032786884,217.94262295081967,366
1981,23658.0,289.09589041095893,218.64383561643837,365
1982,27141.0,287.3917808219178,214.36164383561643,365
1983,16554.0,285.87397260273974,212.2821917808219,365
1984,17526.0,278.7704918032787,206.5191256830601,366
1985,18918.0,279.9287671232877,211.75890410958905,365
1986,19641.0,282.6876712328767,209.4849315068493,365
1987,12461.0,293.5041095890411,216.7972602739726,365
1988,17664.0,282.3251366120219,213.25956284153006,366
1989,22029.0,281.74246575342465,213.42191780821918,365
1990,19188.0,284.6931506849315,217.0958904109589,365
1991,13776.0,292.4054794520548,220.6986301369863,365
1992,20817.0,283.9016393442623,214.0655737704918,366
1993,19117.0,287.827397260274,215.6027397260274,365
1994,22044.0,289.7780821917808,219.8027397260274,365
1995,20489.0,284.2821917808219,214.56438356164384,365
1996,22939.0,285.448087431694,215.0983606557377,366
1997,27327.0,289.0082191780822,217.58904109589042,365
1998,18289.0,296.67397260273975,229.35616438356163,365
1999,18892.0,287.4931506849315,219.84383561643835,365
2000,27232.0,287.5218579234973,219.47540983606558,366
2001,23604.0,293.63013698630135,222.92054794520547,365
2002,18531.0,295.1397260273973,222.61369863013698,365
2003,18850.0,294.9013698630137,221.23561643835617,365
2004,13354.0,291.5273224043716,215.79781420765028,366
2005,20538.0,290.0082191780822,220.95068493150686,365
2006,18591.0,296.3041095890411,226.7835616438356,365
2007,17710.0,292.8821917808219,226.35342465753425,365
2008,24412.0,283.8469945355191,219.11748633879782,366
2009,28751.0,292.14520547945204,222.66849315068492,365
2010,29119.0,299.5342465753425,229.42191780821918,365
2011,19739.0,283.6054794520548,218.04109589041096,365
2012,21635.0,291.73224043715845,225.26775956284152,366
2013,26437.0,286.88950276243094,219.90833333333333,365
2014,25001.0,293.2403314917127,222.86885245901638,365
2015,16153.0,300.24793388429754,231.5816733067729,365
2016,25782.0,295.7099447513812,228.32618025751074,366
2017,25693.0,292.4459833795014,228.7792207792208,365
2018,20940.0,285.6509695290859,218.88524590163934,363
2019,23767.0,299.4585635359116,225.65447154471545,365
2020,17425.0,300.75409836065575,224.30027548209367,366
2021,19768.0,302.42699724517905,219.60955056179776,363
2022,23856.0,294.50276243093924,217.9693593314763,362
2023,16725.0,300.0057636887608,223.23342939481267,347
2024,21133.0,314.5649122807018,234.0842105263158,285
