DATE,PRCP,TMAX,TMIN,NROWS
1988,1913.0,,,61
1989,21261.0,,,365
1990,18554.0,,,365
1991,16839.0,,,365
1992,18116.0,,,366
1993,14048.0,,,365
1994,19221.0,,,365
1995,17309.0,,,365
1996,17630.0,,,366
1997,18399.0,,,365
1998,8667.0,,,365
1999,17341.0,,,365
2000,17715.0,,,366
2001,15860.0,,,365
2002,18816.0,,,365
2003,17843.0,,,365
2004,26481.0,,,335
2005,18631.0,,,335
2006,19148.0,302.3277777777778,249.04166666666666,365
2007,19333.0,298.5178082191781,246.7835616438356,365
2008,17128.0,304.2548476454294,251.6343490304709,366
2009,21469.0,302.3388888888889,251.33333333333334,365
2010,13822.0,304.20710059171597,247.0680473372781,363
2011,22827.0,301.74104683195594,251.61707988980717,364
2012,18594.0,306.56986301369864,250.84657534246574,366
2013,15248.0,298.0495867768595,241.86501377410468,365
2014,21381.0,305.5399449035813,249.86501377410468,365
2015,15107.0,300.94692737430165,247.41340782122904,365
2016,16201.0,308.9725274725275,250.37260273972603,366
2017,13980.0,312.6325966850829,257.02486187845307,365
2018,18520.0,306.32394366197184,252.39718309859154,364
2019,18109.0,308.90168539325845,248.77247191011236,364
2020,12339.0,317.20054945054943,259.34065934065933,364
2021,16207.0,315.5342465753425,257.5780821917808,365
2022,18103.0,309.24657534246575,253.48219178082192,365
2023,20353.0,307.93956043956047,254.4368131868132,364
2024,13453.0,316.2635135135135,257.13513513513516,296
