DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,2124.0,104.448087431694,-20.71857923497268,366,1.0
2001,1236.0,112.15616438356165,-15.665753424657536,365,0.5819209039548022
2002,3376.0,108.36164383561643,-14.238356164383562,365,2.7313915857605178
2003,1425.0,112.82191780821918,-13.191780821917808,365,0.42209715639810425
2004,2706.0,106.49453551912568,-11.8224043715847,366,1.8989473684210527
2005,2784.0,101.0164383561644,-24.153424657534245,365,1.0288248337028825
2006,2426.0,112.7095890410959,-13.857534246575344,365,0.8714080459770115
2007,2815.0,108.69589041095892,-22.36438356164384,365,1.1603462489694971
2008,2298.0,101.1775956284153,-25.811475409836067,366,0.8163410301953818
2009,2736.0,111.15890410958905,-17.043835616438358,365,1.1906005221932114
2010,3187.0,112.53972602739726,-18.076712328767123,365,1.1648391812865497
2011,2185.0,110.0958904109589,-23.898630136986306,365,0.6855977408220897
2012,3007.0,99.39617486338798,-29.592896174863387,366,1.3762013729977116
2013,1700.0,72.18807339449542,-36.21259842519685,365,0.5653475224476222
2014,2171.0,105.7229916897507,-32.16923076923077,365,1.2770588235294118
2015,2776.0,74.44262295081967,-28.868913857677903,365,1.2786734223859972
2016,5116.0,-0.2592592592592592,-20.197628458498023,366,1.8429394812680115
2017,6394.0,88.1,-22.075396825396822,365,1.2498045347928068
2018,14501.0,119.525,-26.55686274509804,364,2.267907413199875
2019,17230.0,30.63636363636364,-29.18217054263566,365,1.188193917660851
2020,2882.0,119.22222222222224,-29.636612021857925,366,0.16726639582124203
2021,3303.0,119.24022346368714,-33.22408963585434,362,1.1460791117279667
2022,4240.0,124.04501607717042,-23.324758842443728,311,1.2836815016651528
2023,1536.0,122.22972972972973,-26.946188340807176,223,0.3622641509433962
