DATE,PRCP,NROWS
1750,2590.0,120
1910,3277.0,365
1911,994.0,365
1912,1125.0,366
1913,1551.0,365
1914,2250.0,365
1915,2943.0,365
1916,3222.0,366
1917,2608.0,365
1918,2400.0,365
1919,1204.0,365
1920,1653.0,366
1921,4435.0,365
1922,1385.0,365
1923,4815.0,365
1924,1066.0,366
1925,1418.0,365
1926,1129.0,365
1927,3135.0,365
1928,1733.0,366
1929,0.0,153
1930,1941.0,365
1931,1569.0,365
1932,3149.0,366
1933,2182.0,365
1934,4372.0,365
1935,1980.0,365
1936,918.0,366
1937,1463.0,365
1938,484.0,365
1939,1451.0,365
1940,1880.0,366
1941,1314.0,365
1942,1601.0,335
1943,3724.0,365
1944,1116.0,366
1945,2137.0,365
1946,1222.0,365
1947,2397.0,365
1948,1145.0,366
1949,4238.0,365
1950,754.0,365
1951,2264.0,365
1952,2303.0,366
1953,2951.0,365
1954,1588.0,365
1955,1441.0,365
1956,2433.0,366
1957,1836.0,365
1958,2066.0,365
1959,930.0,364
1960,2438.0,366
1961,1933.0,365
1962,1600.0,365
1963,4693.0,365
1964,2273.0,366
1965,3110.0,365
1966,845.0,365
1967,3413.0,365
1968,1324.0,335
1969,965.0,365
1970,2446.0,365
1971,3114.0,365
1972,1727.0,366
1973,1052.0,365
1974,4094.0,365
1975,4158.0,365
1976,1125.0,366
1977,1814.0,365
1978,2037.0,365
1979,890.0,365
1980,2882.0,366
1981,1798.0,365
1982,1444.0,365
1983,1904.0,365
1984,3796.0,366
1985,1625.0,365
1986,2089.0,365
1987,1014.0,365
1988,1462.0,366
1989,1598.0,365
1990,1690.0,365
1991,2026.0,365
1992,2313.0,366
1993,1313.0,365
1994,1990.0,365
1995,2426.0,335
1996,3316.0,366
1997,3654.0,365
1998,1574.0,303
1999,2420.0,364
2000,3356.0,366
2001,1248.0,365
2002,646.0,364
2003,1402.0,361
2004,3286.0,366
2005,3143.0,365
2006,1243.0,365
2007,1206.0,364
2008,3500.0,366
2009,753.0,364
2010,3607.0,365
2011,3383.0,365
2012,2194.0,336
2013,871.0,335
2014,600.0,242
2015,2865.0,273
2016,0.0,153
2017,1417.0,212
2018,965.0,365
2019,875.0,365
2020,935.0,366
2021,3235.0,305
2022,1995.0,365
2023,860.0,365
