DATE,PRCP,TMAX,TMIN,NROWS
1952,61.0,150.0,68.6,26
1953,353.0,150.47058823529412,58.22857142857143,46
1954,1280.0,166.93203883495147,64.21649484536083,121
1955,803.0,193.17105263157896,108.31168831168831,92
1956,375.0,199.08823529411765,121.98484848484848,81
1957,2608.0,181.32701421800948,108.7621359223301,230
1958,2544.0,169.52136752136752,91.22619047619048,365
1959,599.0,161.29906542056074,69.55434782608695,249
1960,2913.0,170.49652777777777,92.41832669322709,358
1961,1897.0,172.2990353697749,85.08303249097473,362
1962,3047.0,166.57453416149067,85.08503401360544,362
1963,1923.0,167.42019543973942,88.45488721804512,364
1964,1549.0,162.6811023622047,80.70901639344262,337
1965,1912.0,159.80555555555554,74.77470355731225,349
1966,2361.0,176.35451505016724,97.16465863453816,361
1967,1601.0,167.09657320872273,86.37288135593221,364
1973,4150.0,165.4934210526316,85.45774647887323,361
1974,3341.0,164.0247678018576,84.57564575645756,365
1975,5052.0,169.67532467532467,90.66666666666667,364
1976,3904.0,155.91054313099042,78.46975088967972,366
1977,4478.0,165.17684887459808,76.57587548638132,365
1978,4558.0,159.8142414860681,80.06354515050167,365
1979,5432.0,172.01257861635222,90.86092715231788,365
1980,4181.0,157.7115987460815,81.05084745762711,366
1981,5952.0,171.33956386292834,85.6907894736842,365
1982,3743.0,163.64630225080387,87.18650793650794,365
1983,1697.0,168.21492537313432,83.94945848375451,365
1984,2874.0,163.96103896103895,89.06343283582089,366
1985,2069.0,165.5210355987055,78.89667896678966,365
1986,2823.0,171.89028213166145,84.09191176470588,365
1987,2980.0,156.06583072100312,79.3157894736842,365
1988,3158.0,169.83962264150944,85.4307116104869,366
1989,3500.0,177.94039735099338,92.28301886792453,365
1990,3960.0,188.79677419354837,96.0042372881356,365
1991,8921.0,155.31,54.17857142857143,365
1992,4318.0,164.20833333333334,48.5,366
1993,6171.0,149.4438202247191,61.06521739130435,365
1994,2942.0,183.76394849785407,65.07692307692308,365
1995,3053.0,164.05803571428572,51.98275862068966,365
1997,5877.0,166.67790262172284,66.74358974358974,365
1998,5917.0,164.93227091633466,84.48387096774194,365
1999,5581.0,182.11743772241994,75.92156862745098,364
2000,1846.0,175.95094339622642,75.55555555555556,366
2001,2278.0,185.7923875432526,109.76666666666667,365
2002,9067.0,180.81654676258992,88.32692307692308,365
2003,9182.0,160.93536121673003,36.58571428571429,365
2004,20348.0,176.62020905923345,58.43478260869565,366
2005,12775.0,173.25259515570934,81.6086956521739,365
2006,10795.0,162.3320610687023,56.1,365
2007,11102.0,177.39080459770116,73.34782608695652,365
2008,3686.0,165.06938775510204,56.310344827586206,366
2009,6877.0,169.12033195020746,93.80645161290323,365
2010,6916.0,170.16806722689077,73.5625,365
2011,14731.0,161.10266159695817,49.44,365
2012,5742.0,138.06914893617022,27.863636363636363,366
2013,4385.0,163.0,50.56666666666667,365
2014,8740.0,148.01342281879195,71.69767441860465,365
2015,4723.0,152.12707182320443,61.73684210526316,365
2016,5535.0,156.72115384615384,81.625,366
2017,5514.0,137.3095238095238,53.96296296296296,365
2018,6406.0,163.09545454545454,62.0,365
2019,3375.0,187.45338983050848,80.57142857142857,365
2020,3352.0,179.5219298245614,65.6,366
2021,6648.0,169.25316455696202,66.92307692307692,362
2022,3472.0,176.2280701754386,47.90909090909091,365
2023,4029.0,182.11415525114154,83.09375,365
2024,3318.0,202.04347826086956,115.57142857142857,290
