DATE,PRCP,TMAX,TMIN,NROWS
1995,84.0,-7.402298850574713,-124.47126436781609,87
1996,1788.0,81.66388888888889,-49.28055555555556,366
1997,958.0,114.94101123595506,-25.570224719101123,362
1998,1442.0,121.07799442896936,-10.657381615598887,361
1999,2186.0,119.73446327683615,-14.09142857142857,358
2000,1652.0,104.43016759776536,-35.30386740331492,364
2001,1022.0,124.10773480662984,-19.997237569060772,365
2002,1782.0,59.83805668016194,-74.46558704453442,339
2003,1115.0,113.54046242774567,-28.59659090909091,363
2004,2146.0,114.35068493150685,-20.969945355191257,366
2005,2940.0,119.32328767123288,-17.69041095890411,365
2006,2528.0,126.81318681318682,-7.994520547945205,365
2007,3429.0,121.65840220385675,-19.274725274725274,365
2008,3203.0,119.26775956284153,-26.792349726775956,366
2009,2657.0,109.3972602739726,-36.18356164383562,365
2010,4182.0,110.8732782369146,-21.487603305785125,363
2011,2767.0,114.22191780821917,-28.863013698630137,365
2012,4059.0,119.57377049180327,-21.15573770491803,366
2013,3236.0,105.30578512396694,-34.490358126721766,364
2014,2827.0,103.6,-29.4027397260274,365
2015,2724.0,126.24517906336088,-20.02754820936639,363
2016,4256.0,126.68926553672317,-8.173669467787114,366
2017,1923.0,117.52802359882006,-22.444126074498566,359
2018,2362.0,102.78512396694215,-40.05769230769231,365
2019,2196.0,96.61746987951807,-42.59818731117825,333
2020,2952.0,114.66666666666667,-24.45631067961165,313
2021,2276.0,131.09550561797752,-22.14887640449438,356
2022,2372.0,116.90384615384616,-26.92032967032967,364
2023,1679.0,134.72222222222223,-7.691666666666666,361
2024,395.0,6.204081632653061,-121.70833333333333,118
