DATE,PRCP,TMAX,TMIN,NROWS
1992,0.0,-32.7,-166.65,21
1993,518.0,93.17045454545455,-53.543726235741445,266
1994,1709.0,182.39880952380952,19.023809523809526,169
1995,5169.0,105.02912621359224,-47.76872964169381,357
1996,3778.0,74.78612716763006,-60.03611111111111,360
1997,2470.0,114.37016574585635,-32.787709497206706,365
1998,3645.0,124.78796561604585,-16.091428571428573,365
1999,3094.0,122.08767123287672,-25.21917808219178,365
2000,3444.0,114.96174863387978,-41.385245901639344,366
2001,2413.0,127.51780821917808,-33.97260273972603,365
2002,4465.0,99.54246575342465,-43.5972602739726,365
2003,2772.0,112.45479452054795,-38.8054794520548,365
2004,4113.0,106.23224043715847,-37.25409836065574,366
2005,2896.0,127.14520547945206,-27.5013698630137,365
2006,2576.0,128.64444444444445,-19.955431754874652,365
2007,2224.0,125.8465909090909,-26.871794871794872,365
2008,2912.0,118.25833333333334,-47.08611111111111,362
2009,2248.0,93.01461988304094,-56.05555555555556,342
2010,3058.0,101.66096866096866,-40.46153846153846,351
2011,3554.0,102.8543956043956,-42.23626373626374,364
2012,2706.0,124.76256983240224,-31.092178770949722,358
2013,4573.0,107.67329545454545,-41.38920454545455,352
2014,4928.0,113.41971830985915,-33.09014084507042,355
2015,2978.0,132.93314763231197,-29.654696132596683,363
2016,5167.0,128.8121546961326,-20.471232876712328,366
2017,1495.0,126.6470588235294,-34.57541899441341,360
2018,1958.0,104.0803324099723,-52.89807162534435,365
2019,3622.0,95.82967032967034,-51.16483516483517,364
2020,2227.0,113.61495844875347,-42.45706371191136,362
2021,2139.0,131.42582417582418,-34.90384615384615,364
2022,2379.0,118.41483516483517,-38.76373626373626,364
2023,1641.0,116.91758241758242,-29.60989010989011,364
2024,532.0,16.11764705882353,-111.32773109243698,119
