DATE,PRCP,TMAX,TMIN,NROWS
1952,4469.0,77.66120218579235,-40.67486338797814,366
1953,5906.0,73.13150684931507,-40.68493150684932,365
1954,3469.0,77.18904109589042,-39.71232876712329,365
1955,7807.0,82.35342465753425,-35.37534246575343,365
1956,4862.0,57.18852459016394,-50.13661202185792,366
1957,5424.0,65.48493150684932,-41.534246575342465,365
1958,5015.0,73.42191780821918,-40.23013698630137,365
1959,5707.0,87.52876712328766,-28.865753424657534,365
1960,6675.0,64.45205479452055,-45.37978142076503,366
1961,6594.0,75.63013698630137,-37.93150684931507,365
1962,8665.0,76.34794520547945,-40.52328767123288,365
1963,7039.0,75.15616438356165,-36.14520547945205,365
1964,4392.0,70.48907103825137,-44.5,366
1965,4363.0,63.21369863013699,-50.227397260273975,365
1966,6431.0,64.78082191780823,-46.93698630136986,365
1967,4866.0,83.35890410958905,-33.912328767123284,365
1968,4011.0,81.30054644808743,-29.387978142076502,366
1969,6931.0,59.45479452054794,-54.887362637362635,365
1970,4230.0,73.26575342465753,-45.61369863013699,365
1971,4782.0,81.22739726027397,-33.43287671232877,365
1972,7311.0,65.53005464480874,-41.10655737704918,366
1973,5595.0,69.67123287671232,-38.8027397260274,365
1974,6071.0,66.34794520547945,-41.03013698630137,365
1975,5913.0,90.63287671232877,-23.528767123287672,365
1976,3747.0,76.18630136986302,-50.057377049180324,366
1977,5005.0,69.47123287671234,-47.016438356164386,365
1978,4829.0,75.65753424657534,-39.441095890410956,365
1979,4778.0,77.83287671232877,-34.61369863013699,365
1980,3473.0,67.57103825136612,-40.73224043715847,366
1981,4978.0,77.2931506849315,-35.59452054794521,365
1982,4765.0,91.46575342465754,-27.18082191780822,365
1983,6055.0,72.85479452054794,-29.67945205479452,365
1984,6276.0,65.2896174863388,-38.494535519125684,366
1985,6104.0,64.63287671232877,-37.96986301369863,365
1986,4501.0,76.76438356164384,-31.813698630136987,365
1987,6706.0,62.323287671232876,-43.397260273972606,365
1988,6082.0,73.54098360655738,-26.202185792349727,366
1989,4583.0,86.77260273972603,-23.70958904109589,365
1990,5495.0,89.61643835616438,-15.632876712328768,365
1991,7633.0,77.04931506849314,-24.93972602739726,365
1992,5790.0,76.85245901639344,-29.30327868852459,366
1993,5629.0,76.79178082191781,-25.854794520547944,365
1994,4760.0,79.20821917808219,-25.194520547945206,365
1995,4576.0,85.37260273972603,-17.18904109589041,365
1996,5760.0,85.34699453551913,-27.770491803278688,366
1997,6897.0,84.54246575342465,-19.378082191780823,365
1998,5768.0,89.32602739726028,-15.931506849315069,365
1999,4482.0,76.32602739726028,-28.915068493150685,365
2000,5064.0,77.0792349726776,-30.05191256830601,366
2001,2997.0,84.44383561643835,-28.953424657534246,365
2002,6382.0,85.15342465753425,-19.09041095890411,365
2003,6480.0,89.63287671232877,-15.347945205479451,365
2004,3573.0,85.98360655737704,-17.868852459016395,366
2005,6026.0,77.61369863013698,-23.698630136986303,365
2006,6141.0,77.44657534246575,-26.90958904109589,365
2007,4496.0,99.3917808219178,-9.098630136986301,365
2008,6020.0,90.09836065573771,-13.527322404371585,366
2009,5932.0,74.01095890410959,-28.22739726027397,365
2010,4951.0,72.91232876712328,-28.87945205479452,365
2011,5373.0,78.07123287671233,-25.26027397260274,365
2012,6969.0,72.97267759562841,-27.030054644808743,366
2013,8209.0,-28.025,-40.10407239819005,365
2014,7540.0,85.7840909090909,-25.58447488584475,365
2015,4710.0,36.73972602739726,-38.611374407582936,365
2016,5968.0,-78.0,-67.35585585585585,366
2017,4603.0,-178.0,-47.977064220183486,365
2018,8488.0,140.68,-47.34101382488479,364
2019,6846.0,-60.57142857142857,-51.45333333333333,365
2020,8833.0,99.3543956043956,-31.84573002754821,366
2021,7903.0,97.33994334277621,-39.389972144846794,362
2022,4121.0,91.84444444444445,-42.67955801104972,362
2023,6291.0,93.32658959537572,-46.07780979827089,347
2024,4940.0,137.54964539007094,-6.411971830985915,284
