DATE,PRCP,TMAX,TMIN,NROWS
1963,360.0,198.3,145.9090909090909,23
1964,231.0,186.97142857142856,117.72972972972973,37
1965,946.0,173.33333333333334,119.56410256410257,39
1966,1843.0,175.22666666666666,105.9620253164557,80
1967,577.0,188.875,126.0,41
1968,2038.0,172.24468085106383,109.67924528301887,111
1973,1773.0,170.71428571428572,117.01298701298701,116
1974,2761.0,181.9047619047619,130.35714285714286,79
1975,0.0,180.0,130.0,5
1976,610.0,177.5968992248062,121.58536585365853,227
1977,6397.0,187.24489795918367,134.22222222222223,335
1978,6837.0,190.9049773755656,132.4468085106383,338
1979,6435.0,181.19815668202764,132.90748898678413,317
1980,13892.0,184.52261306532662,135.18987341772151,323
1981,6329.0,179.88095238095238,130.0,269
1982,2807.0,184.4,135.7375,163
1983,1345.0,185.10526315789474,137.54022988505747,169
1984,4343.0,175.1909090909091,127.70547945205479,251
1985,1323.0,185.36764705882354,144.13888888888889,205
1986,8700.0,185.96938775510205,135.48611111111111,351
1987,9094.0,182.52314814814815,137.34006734006735,360
1988,5679.0,182.7391304347826,134.06642066420665,350
1989,8969.0,190.1042654028436,136.0641509433962,352
1990,9782.0,183.0,131.88215488215488,357
1991,8910.0,179.97752808988764,127.28033472803347,319
1992,17146.0,185.9344262295082,129.64473684210526,299
1993,8396.0,183.86725663716814,130.95737704918034,359
1994,5781.0,186.25221238938053,131.87205387205387,349
1995,7174.0,181.14574898785426,128.41666666666666,354
1996,8011.0,187.03947368421052,132.85932721712538,356
1997,16310.0,184.4225941422594,128.95426829268294,362
1998,8486.0,180.592,131.9595015576324,353
1999,745.0,177.23348017621146,128.76567656765675,328
2000,10652.0,177.8608695652174,128.22670807453417,342
2001,7712.0,179.34453781512605,132.3956386292835,345
2002,11796.0,180.3495575221239,124.36050156739812,335
2003,7113.0,187.79148936170213,127.79384615384615,337
2004,6258.0,181.4235807860262,123.6983606557377,324
2005,12249.0,181.0,129.70186335403727,333
2006,8636.0,183.09950248756218,126.23018867924529,285
2007,9343.0,176.41350210970464,125.53745928338762,334
2008,9641.0,190.13654618473896,137.85846153846154,348
2009,6265.0,204.71612903225807,151.5068493150685,230
2010,7018.0,176.63829787234042,125.48275862068965,337
2011,8134.0,177.8373015873016,125.0807453416149,356
2012,7870.0,188.71052631578948,129.4090909090909,364
2013,7030.0,185.34944237918216,132.61876832844575,364
2014,8481.0,184.27480916030535,130.02890173410404,364
2015,7909.0,188.0441767068273,131.3949843260188,341
2016,683.0,194.23076923076923,143.2,25
2017,3756.0,182.8679245283019,132.3235294117647,74
2018,3174.0,173.08653846153845,115.98290598290598,140
2019,6818.0,180.892,123.89208633093526,365
2020,8015.0,180.5984251968504,125.36569579288026,366
2021,8203.0,206.57954545454547,124.23225806451613,359
2022,3617.0,165.86111111111111,127.02857142857142,360
2023,2783.0,205.10526315789474,128.9712643678161,365
2024,2873.0,144.50602409638554,113.1842105263158,289
