DATE,PRCP,TMAX,TMIN,NROWS
1952,12673.0,262.14835164835165,107.61111111111111,214
1953,8971.0,270.14930555555554,106.23958333333333,288
1954,12781.0,262.4509090909091,108.5490909090909,275
1955,16277.0,269.372602739726,101.43561643835616,365
1956,15928.0,268.9753086419753,92.49714285714286,366
1957,14539.0,281.2770083102493,99.97486033519553,365
1958,16035.0,286.3484848484849,106.4509090909091,365
1959,14468.0,279.4082191780822,113.62756598240469,365
1960,10015.0,282.74087591240874,103.41967213114754,305
1961,0.0,266.5,,5
1963,20136.0,263.5347432024169,114.84074074074074,334
1964,16058.0,262.2978142076503,117.25146198830409,366
1965,13407.0,266.7150684931507,109.69041095890411,365
1966,13319.0,265.16438356164383,113.52602739726028,365
1967,18246.0,260.31868131868134,113.35042735042735,365
1968,14079.0,262.3835616438356,109.175,366
1969,12833.0,260.97802197802196,115.37960339943342,365
1970,16391.0,261.739010989011,112.99175824175825,365
1971,14652.0,259.6,108.13424657534246,365
1972,13509.0,263.1840659340659,115.04918032786885,366
1973,12401.0,269.1868131868132,112.52706552706553,365
1974,14121.0,264.50144927536235,103.94169096209913,346
1975,14144.0,263.5497237569061,108.98071625344353,365
1976,17581.0,267.4819944598338,106.61748633879782,366
1977,14911.0,268.53846153846155,118.58516483516483,365
1978,14418.0,265.55710306406684,113.06575342465753,365
1979,12197.0,268.05753424657536,113.72054794520548,365
1980,13442.0,271.5966850828729,112.08219178082192,366
1981,13373.0,270.958904109589,109.12742382271468,365
1982,16132.0,265.2774725274725,116.58516483516483,365
1983,16144.0,269.24175824175825,115.23076923076923,365
1984,12940.0,273.8224043715847,102.72853185595568,366
1985,13113.0,269.72054794520545,106.88219178082191,365
1986,13309.0,270.537037037037,107.76016260162602,365
1987,14387.0,274.26575342465753,112.33333333333333,365
1988,15491.0,271.03684210526313,108.78034682080924,366
1989,11789.0,263.01020408163265,113.38425925925925,290
1990,7988.0,262.07751937984494,117.37837837837837,188
1991,7579.0,266.24050632911394,118.175,190
1992,7609.0,268.4573643410853,122.3768115942029,156
1993,9906.0,265.97484276729557,118.13664596273291,208
1994,11030.0,270.29834254143645,117.8238341968912,270
1995,2078.0,293.0,118.23255813953489,58
1996,788.0,274.9655172413793,83.29545454545455,64
1997,2110.0,278.2325581395349,113.88333333333334,85
1998,12428.0,278.9166666666667,126.23744292237443,262
1999,2238.0,275.83720930232556,106.09289617486338,231
2000,36.0,,81.36666666666666,47
2001,425.0,,100.5,12
2002,84.0,,115.16666666666667,6
2006,13619.0,270.6271186440678,131.68446601941747,234
2007,7499.0,,116.94267515923566,180
2008,3860.0,,109.78169014084507,164
2009,8636.0,,125.44736842105263,209
2010,10991.0,,132.44808743169398,194
2011,3732.0,,119.98717948717949,101
2012,2235.0,,117.65079365079364,78
2013,11657.0,,129.58715596330276,236
2014,13558.0,269.2307692307692,130.23012552301256,254
2015,10337.0,286.4575163398693,122.71676300578035,208
2016,13506.0,276.49795918367346,126.7244094488189,291
2017,7528.0,279.9308176100629,125.62420382165605,184
2018,6870.0,274.54676258992805,110.60958904109589,169
2019,6749.0,285.9646017699115,98.47058823529412,186
2020,13780.0,273.2091503267974,121.05809128630706,264
2021,9089.0,262.62068965517244,134.34677419354838,142
2022,7374.0,281.81333333333333,117.53435114503817,150
2023,6479.0,273.0952380952381,127.2520325203252,138
2024,762.0,,153.0,4
