DATE,PRCP,TMAX,TMIN,NROWS
1959,3453.0,9.238095238095237,-42.21739130434783,204
1960,4755.0,,,343
1961,5697.0,200.0,113.0,345
1962,7306.0,,,355
1963,5077.0,,,360
1964,5240.0,,,358
1965,5449.0,,,362
1966,6223.0,,,312
1967,6693.0,,,364
1968,5822.0,,,363
1969,5076.0,45.306306306306304,-45.074074074074076,362
1970,6321.0,79.08588957055214,-16.6046511627907,365
1971,5595.0,42.95238095238095,-0.047619047619047616,364
1972,7160.0,,,365
1973,5337.0,76.36363636363636,-35.51724137931034,306
1974,7399.0,105.98639455782313,25.913978494623656,365
1975,4556.0,91.78571428571429,-8.275862068965518,365
1976,3942.0,38.0,-31.666666666666668,276
1977,7373.0,-10.0,-11.11111111111111,365
1978,7554.0,,,335
1979,5622.0,,,365
1980,6714.0,,,366
1981,7619.0,,,335
1982,4648.0,,,365
1983,6367.0,,,365
1984,6057.0,,,366
1985,7351.0,,,365
1986,7310.0,,,365
1987,7066.0,,,365
1988,6472.0,,-48.0,366
1989,7013.0,43.0,-8.0,365
1990,8065.0,68.5,44.875,365
1991,6162.0,12.0,-70.0,365
1992,1113.0,,,60
1993,4052.0,151.8793103448276,77.63736263736264,139
1994,122.0,-18.333333333333332,-42.0,10
1995,2103.0,50.01298701298701,5.714285714285714,142
1996,0.0,225.0,36.0,194
1997,0.0,25.0,,301
1998,0.0,,,154
1999,0.0,,,294
2000,0.0,,,57
2008,206.0,8.88888888888889,-23.666666666666668,17
2009,6194.0,111.31309904153355,38.97674418604651,364
2010,5458.0,107.05610561056106,20.187250996015937,361
2011,4464.0,118.5607476635514,39.316602316602314,364
2012,3377.0,103.25816993464052,24.78968253968254,359
2013,0.0,31.15463917525773,38.167381974248926,344
2014,0.0,63.375,21.78014184397163,257
2015,0.0,,,342
2016,0.0,,,364
2017,0.0,,,351
2018,0.0,,,347
2019,0.0,,,351
2020,0.0,,,91
2021,1483.0,44.94444444444444,24.155555555555555,107
2022,1198.0,108.33333333333333,40.97796143250689,363
2023,4811.0,97.8011049723757,37.70175438596491,326
2024,408.0,140.15636363636364,65.63859649122807,288
