DATE,PRCP,TMAX,TMIN,NROWS
1920,2184.0,242.95628415300547,151.65027322404373,366
1921,2989.0,239.3,149.9808219178082,365
1922,1597.0,263.9175824175824,159.21153846153845,365
1923,1427.0,257.6684931506849,154.34520547945206,365
1924,1239.0,246.18696883852692,118.81016949152543,366
1925,5982.0,238.23901098901098,145.97808219178083,365
1926,1606.0,245.8081395348837,130.1320754716981,365
1927,1428.0,242.7890410958904,132.33703703703705,365
1928,2683.0,232.62841530054644,160.3653846153846,366
1929,1390.0,222.07692307692307,134.52552552552552,365
1930,2085.0,245.46742209631728,102.06557377049181,365
1931,1829.0,269.13425925925924,181.49268292682927,365
1932,3121.0,235.96901408450705,154.01666666666668,366
1933,6906.0,236.4,145.707182320442,365
1934,2461.0,243.5939226519337,155.16119402985075,365
1935,646.0,246.19452054794522,142.3573407202216,365
1936,2702.0,240.84313725490196,121.79464285714286,366
1939,1355.0,240.1934306569343,151.81454545454545,275
1941,1051.0,222.94539249146757,152.2409972299169,365
1951,0.0,279.7096774193548,191.52201257861634,178
1952,1061.0,247.48314606741573,148.30601092896174,366
1953,4058.0,236.35890410958905,150.63202247191012,365
1954,1667.0,232.8365650969529,138.44109589041096,365
1955,1497.0,251.70083102493075,163.25484764542935,365
1956,0.0,245.58677685950414,132.52136752136752,366
1957,3305.0,243.57183098591548,137.94940476190476,365
1958,1589.0,249.75555555555556,137.04335260115607,364
1959,1295.0,250.07584269662922,131.1558073654391,363
1960,1470.0,257.703081232493,144.97109826589596,365
1961,1951.0,247.99720670391062,141.39650145772595,364
1962,2487.0,252.29444444444445,153.73638968481376,365
1963,1531.0,252.1,151.34857142857143,365
1973,0.0,243.70044052863437,147.47863247863248,319
1974,0.0,244.89361702127658,143.39055793991417,318
1975,0.0,246.70967741935485,154.625,231
1976,0.0,196.92307692307693,86.13636363636364,57
1977,0.0,246.40552995391704,159.42222222222222,294
1978,0.0,247.85087719298247,160.2555066079295,279
1979,0.0,249.42857142857142,170.15151515151516,177
1980,0.0,238.4433962264151,150.9917355371901,309
1981,0.0,244.55938697318007,152.26923076923077,325
1982,1372.0,253.36320754716982,155.16883116883116,351
1983,2909.0,233.58441558441558,147.74122807017545,353
1984,1253.0,252.37946428571428,152.6322869955157,336
1985,1399.0,247.06159420289856,156.36032388663966,354
1986,2314.0,237.96638655462183,154.91020408163266,352
1987,1951.0,245.08510638297872,154.58823529411765,324
1988,2920.0,247.69758064516128,158.05106382978724,342
1989,1722.0,250.89270386266094,161.68979591836734,338
1990,10826.0,255.39312977099237,167.8714859437751,350
1991,2202.0,246.76825396825396,157.86054421768708,362
1992,1058.0,247.86153846153846,157.2943143812709,363
1993,2285.0,248.65573770491804,160.125,351
1994,2615.0,250.3,159.15589353612168,328
1995,3261.0,250.71212121212122,162.7153846153846,332
1996,1161.0,261.3254237288136,166.16727272727272,349
1997,3619.0,254.7331189710611,159.05479452054794,356
1998,771.0,255.1853146853147,165.50746268656715,353
1999,593.0,258.367816091954,171.29554655870444,334
2000,1740.0,257.0812720848057,165.77651515151516,347
2001,704.0,263.7391304347826,170.6853146853147,360
2002,1868.0,246.27477477477478,157.2073732718894,288
2003,1629.0,256.87068965517244,171.48837209302326,185
2004,705.0,264.0188679245283,190.46153846153845,229
2005,938.0,247.37446808510637,172.65158371040724,316
2006,2110.0,255.09022556390977,177.2555066079295,324
2007,3377.0,247.26717557251908,173.3732718894009,301
2008,4167.0,250.27124183006535,175.24915824915826,358
2009,1294.0,251.371875,171.5253623188406,354
2010,853.0,254.46601941747574,179.96453900709218,357
2011,760.0,186.77551020408163,103.07142857142857,56
2012,2159.0,289.25,,96
2013,540.0,259.97,120.56521739130434,215
2014,757.0,243.757225433526,140.20529801324503,221
2015,541.0,258.9102564102564,179.47445255474452,232
2016,256.0,251.90849673202615,169.88484848484848,228
2017,658.0,239.1942857142857,162.00520833333334,253
2018,468.0,250.21212121212122,177.35616438356163,187
2019,2043.0,259.364406779661,176.7962962962963,281
2020,948.0,210.22368421052633,147.584,158
2021,846.0,258.83617747440275,171.3985507246377,347
2022,558.0,259.171875,172.40655737704918,363
2023,3312.0,257.0756972111554,171.34057971014494,355
2024,695.0,274.0470588235294,185.86705202312137,258
