DATE,PRCP,NROWS
1950,36.0,1
1951,7833.0,365
1952,9201.0,366
1953,4678.0,365
1954,7875.0,365
1955,6063.0,365
1956,6801.0,366
1957,7391.0,365
1958,7241.0,365
1959,5889.0,365
1960,8970.0,366
1961,9147.0,365
1962,6618.0,365
1963,7116.0,365
1964,7162.0,366
1965,9359.0,365
1966,9386.0,365
1967,7421.0,365
1968,7688.0,366
1969,7305.0,365
1970,6816.0,365
1971,5675.0,365
1972,6351.0,366
1973,6991.0,365
1974,8641.0,365
1975,7438.0,365
1976,5277.0,366
1977,7485.0,365
1978,6370.0,365
1979,8808.0,365
1980,7333.0,366
1981,8950.0,365
1982,6999.0,365
1983,8008.0,365
1984,8066.0,366
1985,7054.0,365
1986,8169.0,365
1987,8136.0,365
1988,8468.0,366
1989,6089.0,365
1990,6333.0,365
1991,6081.0,365
1992,7825.0,366
1993,8166.0,365
1994,8019.0,365
1995,7540.0,365
1996,5612.0,366
1997,6209.0,365
1998,10510.0,365
1999,8597.0,365
2000,9413.0,366
2001,9558.0,365
2002,9971.0,365
2003,6612.0,365
2004,8757.0,366
2005,7818.0,365
2006,6894.0,365
2007,9685.0,365
2008,8575.0,366
2009,7382.0,365
2010,8599.0,365
2011,8463.0,365
2012,10498.0,366
2013,9016.0,365
2014,8514.0,365
2015,8917.0,365
2016,9330.0,366
2017,10005.0,365
2018,6803.0,365
2019,8686.0,365
2020,8993.0,366
2021,7984.0,336
2022,8653.0,365
2023,10885.0,365
2024,5820.0,225
