DATE,PRCP,NROWS
1895,25.0,2
1896,3060.0,366
1897,2803.0,365
1898,3236.0,365
1899,2614.0,365
1900,1967.0,365
1901,2120.0,365
1902,2772.0,365
1903,3038.0,365
1904,1720.0,366
1905,2381.0,365
1906,3370.0,365
1907,2682.0,365
1908,2483.0,366
1909,2677.0,365
1910,2746.0,365
1911,1763.0,365
1912,2099.0,366
1913,3533.0,365
1914,2807.0,365
1915,2170.0,365
1916,3370.0,366
1917,2929.0,365
1918,3196.0,365
1919,2667.0,365
1920,2592.0,366
1921,3488.0,365
1922,3334.0,365
1923,2889.0,365
1924,2733.0,366
1925,3387.0,365
1926,3236.0,365
1927,2764.0,365
1928,2556.0,366
1929,3476.0,365
1930,2637.0,365
1931,2913.0,365
1932,2499.0,366
1933,2854.0,365
1934,4083.0,365
1935,2916.0,365
1936,3337.0,366
1937,3021.0,365
1938,3518.0,365
1939,3528.0,365
1940,3320.0,366
1941,2410.0,365
1942,3519.0,365
1943,3278.0,365
1944,3318.0,366
1945,2628.0,365
1946,2360.0,365
1947,3104.0,365
1948,3499.0,366
1949,2623.0,365
1950,2290.0,365
1951,2585.0,365
1952,2321.0,366
1953,4144.0,365
1954,3110.0,365
1955,1908.0,365
1956,3541.0,366
1957,3980.0,365
1958,2509.0,365
1959,2246.0,365
1960,2883.0,366
1961,3128.0,365
1962,2073.0,365
1963,3224.0,365
1964,3124.0,366
1965,2199.0,365
1966,2600.0,365
1967,3669.0,365
1968,2497.0,366
1969,2924.0,365
1970,2175.0,365
1971,4226.0,365
1972,2885.0,366
1973,3420.0,365
1974,3141.0,365
1975,3792.0,365
1976,2708.0,366
1977,2174.0,365
1978,3398.0,365
1979,4037.0,365
1980,3175.0,366
1981,3037.0,365
1982,2419.0,365
1983,4344.0,365
1984,3154.0,366
1985,3847.0,365
1986,3125.0,365
1987,3332.0,365
1988,4003.0,366
1989,3310.0,365
1990,3727.0,365
1991,2385.0,365
1992,3745.0,366
1993,4294.0,365
1994,3484.0,365
1995,2780.0,365
1996,2858.0,366
1997,3236.0,365
1998,3379.0,365
1999,3782.0,365
2000,3670.0,366
2001,3178.0,365
2002,2975.0,365
2003,3266.0,365
2004,3807.0,366
2005,3418.0,365
2006,2902.0,365
2007,4324.0,365
2008,4116.0,366
2009,3464.0,365
2010,3148.0,365
2011,5100.0,365
2012,3438.0,366
2013,4072.0,365
2014,3570.0,365
2015,3192.0,365
2016,3780.0,366
2017,3884.0,365
2018,3147.0,365
2019,3558.0,365
2020,3783.0,366
2021,3148.0,365
2022,3861.0,365
2023,5602.0,365
2024,2949.0,244
