DATE,PRCP,TMAX,TMIN,NROWS
1936,4707.0,,,348
1937,5002.0,,,358
1938,4395.0,,,337
1939,4702.0,,,359
1940,3834.0,,,351
1941,2383.0,,,328
1942,5043.0,,,326
1943,3533.0,,,353
1944,2955.0,,,362
1945,3033.0,,,271
1946,4609.0,,,348
1947,4431.0,-84.14285714285714,-279.2857142857143,351
1948,5488.0,68.95370370370371,-93.93650793650794,363
1949,3846.0,128.97512437810946,-52.75,365
1950,3699.0,91.60162601626017,-92.94444444444444,365
1951,6998.0,72.56457564575646,-76.7464114832536,363
1952,4704.0,44.31832797427653,-87.29310344827586,366
1953,5337.0,47.275193798449614,-87.8,361
1954,3841.0,81.17131474103586,-46.96195652173913,362
1955,6105.0,30.397321428571427,-98.48214285714286,364
1956,4536.0,53.66019417475728,-75.41875,365
1957,6453.0,64.66847826086956,-55.4,364
1958,3979.0,56.82738095238095,-83.34645669291339,362
1959,6443.0,73.78205128205128,-56.99038461538461,365
1960,4919.0,33.79090909090909,-89.4932735426009,366
1961,6301.0,59.58620689655172,-74.23660714285714,365
1962,6923.0,59.16923076923077,-68.88429752066116,365
1963,6522.0,64.7748344370861,-56.21395348837209,365
1964,4132.0,,,353
1965,4150.0,,,348
1969,5115.0,31.39209726443769,-94.71300448430493,363
1970,4186.0,49.804154302670625,-89.38139534883722,365
1971,1237.0,21.62874251497006,-115.2156862745098,181
1973,5707.0,67.84810126582279,-65.29411764705883,360
1974,2931.0,21.423487544483987,-89.51612903225806,346
1975,3982.0,79.51515151515152,-57.29257641921397,364
1976,5478.0,67.09677419354838,-65.89861751152074,366
1977,4268.0,53.03225806451613,-87.0873786407767,365
1978,5231.0,63.425925925925924,-82.66055045871559,365
1979,3961.0,63.333333333333336,-83.66515837104072,365
1980,5313.0,58.102409638554214,-61.382488479262676,366
1981,5437.0,54.63343108504399,-74.51162790697674,365
1982,5952.0,66.81703470031546,-55.39784946236559,365
1983,5473.0,61.75320512820513,-74.84895833333333,365
1984,6394.0,5.938271604938271,-70.30434782608695,366
1985,4913.0,56.92580645161291,-68.05670103092784,365
1986,4228.0,65.80075187969925,-61.46808510638298,365
1987,4971.0,60.73684210526316,-81.75268817204301,365
1988,5209.0,81.02758620689656,-319.0,366
1989,5052.0,77.74454828660436,-202.23076923076923,365
1990,5155.0,76.28698224852072,-54.95,365
1991,5644.0,62.30395136778115,-56.44711538461539,365
1992,5534.0,73.7710843373494,-56.62222222222222,366
1993,4008.0,62.84415584415584,-75.0561224489796,347
1994,4254.0,68.17857142857143,-75.31382978723404,364
1995,2839.0,63.10457516339869,-67.7431693989071,337
1996,2867.0,76.18429003021149,-70.6938775510204,365
1997,445.0,3.00709219858156,-133.0989010989011,157
1998,2670.0,98.01913875598086,-63.05,223
1999,3290.0,216.93548387096774,90.26027397260275,129
2000,1298.0,117.25287356321839,-28.81904761904762,182
2001,2956.0,82.929203539823,-66.46039603960396,357
2002,4574.0,79.34302325581395,-56.03,362
2003,2942.0,82.66371681415929,-65.42424242424242,364
2004,2755.0,79.12244897959184,-69.13215859030836,363
2005,2989.0,75.76744186046511,-58.985074626865675,365
2006,3294.0,73.27405247813411,-66.79081632653062,365
2007,2365.0,85.83480825958702,-57.46534653465346,363
2008,3028.0,87.45664739884393,-60.385,366
2009,4477.0,65.54202898550724,-65.87234042553192,365
2010,4020.0,77.67159763313609,-59.34,365
2011,2496.0,75.74719101123596,-64.77073170731707,365
2012,3165.0,66.13687150837988,-68.28645833333333,366
2013,7614.0,65.8375350140056,-69.5959595959596,365
2014,4215.0,76.74643874643874,-67.25888324873097,365
2015,4167.0,79.65771812080537,-46.02040816326531,327
2016,5394.0,68.27728613569322,-65.87317073170732,366
2017,5290.0,80.5119760479042,-66.57868020304568,365
2018,5621.0,81.97050147492625,-46.720588235294116,364
2019,6356.0,76.49101796407186,-55.11764705882353,365
2020,7361.0,84.76106194690266,-42.41747572815534,366
2021,6317.0,80.72271386430678,-40.345,361
2022,6072.0,72.15819209039547,-61.88625592417062,365
2023,4677.0,73.92528735632185,-53.98557692307692,365
2024,4524.0,119.79285714285714,-39.15,288
