DATE,PRCP,TMAX,TMIN,NROWS
1901,1221.0,,,365
1902,1461.0,,,365
1903,495.0,,,334
1904,1054.0,,,366
1905,777.0,,,334
1906,1090.0,,,335
1907,1326.0,,,365
1912,710.0,,,366
1913,1172.0,,,365
1914,1213.0,,,365
1915,675.0,,,335
1916,1205.0,,,366
1917,1757.0,,,334
1918,955.0,,,365
1919,270.0,,,241
1920,1515.0,,,366
1921,3033.0,,,365
1922,741.0,,,337
1923,1031.0,,,365
1924,307.0,,,366
1925,1048.0,,,365
1926,1189.0,,,365
1927,508.0,,,365
1928,524.0,,,336
1929,1142.0,,,365
1930,569.0,,,335
1931,988.0,,,365
1932,547.0,,,366
1933,1225.0,,,365
1934,1480.0,,,365
1935,731.0,,,365
1936,1341.0,,,366
1937,867.0,,,365
1938,1089.0,,,365
1939,677.0,,,365
1940,1725.0,,,366
1941,1057.0,,,365
1942,1060.0,,,365
1943,1288.0,,,334
1944,557.0,,,334
1945,621.0,,,307
1946,208.0,,,334
1947,650.0,,,365
1948,1110.0,,,366
1949,401.0,,,365
1950,1407.0,,,365
1951,772.0,,,365
1952,1990.0,,,366
1953,1410.0,,,334
1954,1263.0,,,365
1955,1558.0,,,365
1956,1895.0,,,366
1957,1580.0,,,365
1958,745.0,,,365
1959,1235.0,,,365
1960,751.0,,,366
1961,1906.0,,,365
1962,1331.0,,,365
1963,1755.0,,,334
1964,749.0,,,274
1965,1450.0,,,365
1966,310.0,,,365
1967,1632.0,,,365
1968,690.0,,,366
1969,477.0,,,365
1970,548.0,,,365
1971,1411.0,,,365
1972,375.0,,,364
1973,1173.0,,,363
1974,1440.0,,,365
1975,1257.0,,,365
1976,1505.0,,,363
1977,1657.0,,,365
1978,1235.0,,,365
1979,750.0,,,365
1980,1560.0,,,366
1981,1157.0,,,335
1982,1842.0,,,365
1983,473.0,,,365
1984,1363.0,,,366
1985,1910.0,,,365
1986,805.0,,,363
1987,1630.0,,,365
1988,1368.0,,,366
1989,1223.0,,,365
1990,976.0,,,365
1991,1864.0,,,365
1992,983.0,,,366
1993,1305.0,,,365
1994,999.0,,,365
1995,2908.0,,,365
1996,1849.0,,,366
1997,663.0,,,332
1998,756.0,261.0856031128405,94.15891472868218,258
1999,1265.0,282.6,117.93046357615894,303
2000,2108.0,268.4967741935484,105.19745222929936,314
2001,781.0,269.6601941747573,115.5732484076433,314
2002,712.0,285.69950738916253,119.00485436893204,206
2003,557.0,270.69072164948454,104.580204778157,295
2004,1218.0,277.59163987138265,113.13375796178345,314
2005,752.0,271.56965944272446,112.05810397553516,327
2006,805.0,267.89020771513356,109.02639296187684,341
2007,1013.0,274.36336336336336,109.81381381381381,333
2008,644.0,270.6959706959707,112.21033210332104,274
2009,1630.0,266.08595988538684,112.71225071225071,351
2010,644.0,276.82300884955754,111.95058139534883,344
2011,1951.0,267.79937304075236,113.90372670807453,322
2012,1052.0,282.22895622895624,120.51666666666667,300
2013,973.0,273.37654320987656,111.78834355828221,326
2014,1084.0,273.8753462603878,112.91412742382272,361
2015,593.0,275.6358543417367,114.67127071823204,362
2016,1105.0,279.7285318559557,114.76308539944904,363
2017,182.0,281.5811965811966,109.64425770308124,357
2018,265.0,278.89164086687305,112.93538461538462,325
2019,135.0,284.6657381615599,119.38950276243094,362
2020,514.0,280.06705539358603,115.89306358381504,348
2021,1153.0,270.1880341880342,109.62429378531074,354
2022,884.0,277.21666666666664,113.8543956043956,364
2023,403.0,269.3,111.69121813031161,354
2024,1417.0,267.4736842105263,103.09375,288
