DATE,PRCP,TMAX,TMIN,NROWS
1943,0.0,155.15032679738562,51.71895424836601,153
1944,4172.0,150.44535519125682,33.50819672131148,366
1945,3837.0,171.13150684931506,41.942465753424656,365
1946,4415.0,150.67857142857142,37.676712328767124,365
1947,7124.0,162.84487534626038,47.24657534246575,365
1948,4614.0,169.62841530054644,45.049180327868854,366
1949,4516.0,165.63561643835615,48.03013698630137,365
1950,4296.0,171.82191780821918,46.175342465753424,365
1951,7074.0,143.12707182320443,46.71270718232044,365
1952,7593.0,150.75409836065575,46.52459016393443,366
1953,3968.0,158.07945205479453,38.61369863013699,365
1954,3842.0,147.67945205479452,35.95342465753425,365
1955,7944.0,160.1661971830986,50.695774647887326,365
1956,5170.0,137.61369863013698,38.46849315068493,366
1957,3729.0,152.2958904109589,41.69041095890411,365
1958,6406.0,154.02739726027397,49.74246575342466,365
1959,8234.0,152.92876712328768,51.71506849315068,365
1960,8932.0,147.80601092896174,47.60382513661202,366
1961,6712.0,163.2082191780822,53.59178082191781,365
1962,5351.0,153.85753424657534,45.56438356164384,365
1963,7289.0,146.9095890410959,44.47671232876712,365
1964,4455.0,159.8224043715847,44.96448087431694,366
1965,6554.0,152.88219178082193,44.9041095890411,365
1966,7158.0,151.66575342465754,50.62191780821918,365
1967,6472.0,150.43287671232878,44.45205479452055,365
1968,4614.0,157.09562841530055,45.77049180327869,366
1969,6421.0,142.13698630136986,44.3013698630137,365
1970,4512.0,155.97260273972603,39.11506849315069,365
1971,6653.0,146.27397260273972,37.50684931506849,365
1972,7331.0,136.327868852459,40.240437158469945,366
1973,5159.0,149.35890410958905,37.49589041095891,365
1974,5290.0,145.15068493150685,40.104109589041094,365
1975,4837.0,152.85479452054796,39.64383561643836,365
1976,5584.0,154.0655737704918,38.66120218579235,366
1977,6874.0,149.33150684931508,42.942465753424656,365
1978,5419.0,157.14246575342466,38.47123287671233,365
1979,7462.0,155.84931506849315,44.98082191780822,365
1980,5512.0,153.43715846994536,36.84699453551912,366
1981,4721.0,163.23287671232876,38.608219178082194,365
1982,4924.0,164.46849315068494,50.27945205479452,365
1983,5460.0,164.84657534246574,44.47123287671233,365
1984,6283.0,145.84699453551912,37.82786885245902,366
1985,4539.0,164.66575342465754,40.342465753424655,365
1986,4450.0,153.8956043956044,39.6978021978022,365
1987,5571.0,161.05205479452056,48.983561643835614,365
1988,5358.0,159.4344262295082,46.21311475409836,366
1989,5501.0,175.67945205479452,52.52054794520548,365
1990,5067.0,166.86301369863014,48.71506849315068,365
1991,3685.0,157.7068493150685,43.175342465753424,365
1992,5685.0,158.43715846994536,40.439890710382514,366
1993,5379.0,152.12328767123287,39.14520547945205,365
1994,5327.0,171.46849315068494,47.97808219178082,365
1995,5558.0,174.43287671232878,53.778082191780825,365
1996,6565.0,163.724043715847,47.62568306010929,366
1997,7517.0,173.68493150684932,59.35890410958904,365
1998,4079.0,170.25205479452055,49.40821917808219,365
1999,5575.0,165.4849315068493,51.43013698630137,365
2000,5651.0,173.27322404371586,51.14754098360656,366
2001,6133.0,175.36712328767123,50.0986301369863,365
2002,5762.0,174.57260273972602,55.74246575342466,365
2003,5688.0,182.04109589041096,59.92602739726028,365
2004,5377.0,169.28415300546447,49.5792349726776,366
2005,4717.0,175.07945205479453,45.057534246575344,365
2006,5004.0,181.6164383561644,58.09315068493151,365
2007,5760.0,165.93424657534246,45.679452054794524,365
2008,6978.0,166.58743169398906,48.486338797814206,366
2009,5328.0,171.64931506849314,53.93698630136986,365
2010,6062.0,154.93698630136987,46.49589041095891,365
2011,5047.0,174.7123287671233,54.676712328767124,365
2012,4101.0,166.9016393442623,47.52732240437158,366
2013,6614.0,154.34520547945206,49.47671232876712,365
2014,5656.0,170.8931506849315,58.0986301369863,365
2015,3832.0,173.4082191780822,51.61369863013699,365
2016,6156.0,171.41803278688525,51.01639344262295,366
2017,3214.0,186.91780821917808,46.728767123287675,365
2018,6288.0,167.74520547945207,55.654794520547945,365
2019,5717.0,177.34246575342465,50.48219178082192,365
2020,5401.0,178.00273224043715,57.240437158469945,366
2021,4468.0,171.72328767123287,48.61095890410959,365
2022,4092.0,188.68493150684932,57.8986301369863,365
2023,4436.0,186.05753424657533,59.06575342465754,365
2024,5552.0,193.13953488372093,58.476377952755904,296
