DATE,PRCP,TMAX,TMIN,NROWS
1973,3600.0,220.78488372093022,104.60714285714286,363
1974,3548.0,223.00911854103344,108.14814814814815,365
1975,5267.0,219.8176291793313,116.52985074626865,364
1976,3928.0,218.90173410404626,116.70103092783505,366
1977,5597.0,219.61876832844575,117.48322147651007,365
1978,2060.0,224.01812688821752,119.52203389830508,365
1979,2775.0,226.42228739002934,128.27464788732394,365
1980,3959.0,223.18713450292398,120.06349206349206,366
1981,2361.0,227.5287356321839,123.74570446735395,365
1982,3884.0,235.5107913669065,131.1971153846154,365
1983,1783.0,235.81055900621118,124.23152709359606,365
1984,2839.0,222.00324675324674,119.06632653061224,366
1985,4037.0,230.96308724832215,131.9780701754386,365
1986,3900.0,230.82295081967214,125.58128078817734,365
1987,3356.0,231.67628205128204,127.61052631578947,365
1988,3963.0,230.3992932862191,126.49358974358974,366
1989,9201.0,229.96864111498257,141.34806629834253,364
1990,2944.0,230.3114186851211,123.66666666666667,364
1991,4047.0,222.6542372881356,108.85454545454546,365
1992,3375.0,229.86764705882354,122.57407407407408,366
1993,2204.0,225.3255033557047,132.14814814814815,365
1994,1269.0,236.98969072164948,132.62209302325581,365
1995,2130.0,236.31804281345566,138.98026315789474,365
1996,3399.0,228.1867469879518,131.0120481927711,366
1997,1397.0,234.58653846153845,141.44886363636363,365
1998,3474.0,216.11764705882354,137.3089430894309,365
1999,2568.0,212.0552995391705,189.9493670886076,364
2000,4056.0,221.91860465116278,182.9468085106383,366
2001,1819.0,224.56279069767442,158.52941176470588,365
2002,4710.0,233.95882352941177,133.234375,365
2003,2548.0,236.38036809815952,145.42990654205607,365
2004,5692.0,234.91304347826087,130.5321100917431,366
2005,2945.0,236.52715654952075,134.76699029126215,365
2006,3683.0,254.96039603960395,128.86148648648648,365
2007,6705.0,241.7294520547945,124.50357142857143,365
2008,5167.0,233.4888178913738,123.5667870036101,366
2009,3722.0,231.715953307393,127.31075697211155,365
2010,3453.0,221.6326530612245,119.68493150684931,365
2011,3487.0,219.0,127.59927797833934,364
2012,2445.0,243.49418604651163,131.4954954954955,366
2013,2571.0,239.6235632183908,132.66101694915255,365
2014,3736.0,250.64630225080387,143.48442906574394,365
2015,5109.0,240.38429752066116,128.18772563176896,365
2016,4998.0,253.1164383561644,136.72043010752688,366
2017,3248.0,171.0,130.24745762711865,365
2018,4543.0,249.66666666666666,138.24381625441697,365
2019,3772.0,201.21428571428572,131.93771626297578,365
2020,5612.0,248.32743362831857,137.3357142857143,366
2021,4428.0,231.912,133.86934673366835,362
2022,7291.0,261.0,142.76296296296297,365
2023,2971.0,234.4825581395349,147.09876543209876,365
2024,1381.0,260.3304347826087,153.46153846153845,290
