DATE,PRCP,NROWS
1945,6053.0,365
1946,4014.0,365
1947,4981.0,365
1948,4744.0,366
1949,4373.0,365
1950,6620.0,365
1951,4903.0,351
1952,5881.0,366
1953,5092.0,365
1954,6356.0,365
1955,4980.0,365
1956,5254.0,366
1957,5379.0,365
1958,4957.0,365
1959,4266.0,365
1960,6190.0,366
1961,6143.0,365
1962,5020.0,365
1963,4607.0,365
1964,4582.0,366
1965,5819.0,365
1966,6582.0,365
1967,6288.0,365
1968,4215.0,366
1969,4557.0,365
1970,5217.0,365
1971,4573.0,365
1972,4740.0,366
1973,4138.0,365
1974,5995.0,365
1975,3809.0,365
1976,3693.0,366
1977,4150.0,365
1978,5292.0,365
1979,6371.0,365
1980,5226.0,366
1981,4986.0,365
1982,4180.0,365
1983,4678.0,335
1984,4492.0,336
1985,6066.0,365
1986,6107.0,365
1987,5197.0,365
1988,4058.0,366
1989,5110.0,365
1990,5505.0,365
1991,4572.0,365
1992,6338.0,366
1993,5788.0,365
1994,4045.0,365
1995,4686.0,365
1996,4827.0,366
1997,4677.0,365
1998,5816.0,365
1999,5047.0,365
2000,7942.0,366
2001,7256.0,365
2002,4547.0,365
2003,4937.0,365
2004,4914.0,366
2005,6324.0,365
2006,6346.0,365
2007,4962.0,365
2008,4570.0,366
2009,5634.0,365
2010,5279.0,365
2011,6947.0,365
2012,5609.0,335
2013,5407.0,365
2014,4912.0,365
2015,4437.0,365
2016,4530.0,366
2017,5482.0,365
2018,4924.0,365
2019,5252.0,365
2020,6476.0,366
2021,5606.0,365
2022,5677.0,365
2023,5913.0,365
2024,4186.0,244
