DATE,PRCP,TMAX,TMIN,NROWS
1952,27538.0,311.2841530054645,235.1830601092896,366
1953,30710.0,311.53698630136984,228.9972602739726,365
1954,32359.0,309.9917808219178,229.22739726027396,365
1955,24531.0,312.65205479452055,231.0191780821918,365
1956,24635.0,311.5273224043716,231.4344262295082,366
1957,30020.0,309.49041095890414,233.06301369863013,365
1958,20472.0,313.3123287671233,235.6904109589041,365
1959,30036.0,311.65479452054797,232.4958904109589,365
1960,25323.0,308.5464480874317,235.3013698630137,366
1961,22465.0,309.2931506849315,233.8,365
1962,24770.0,310.22739726027396,235.13424657534247,365
1963,23755.0,310.9013698630137,236.7068493150685,365
1964,29157.0,307.3606557377049,234.69398907103826,366
1965,24611.0,309.958904109589,233.70958904109588,365
1966,31140.0,310.2520547945206,236.53972602739725,365
1967,20973.0,310.1835616438356,234.66027397260274,365
1968,24313.0,312.1912568306011,232.5792349726776,366
1969,25783.0,315.4054794520548,237.73424657534247,365
1970,26958.0,312.04657534246576,237.23013698630137,365
1971,31587.0,308.24383561643833,234.39178082191782,365
1972,20410.0,313.60928961748635,235.73224043715848,366
1973,33095.0,310.8164383561644,236.35342465753425,365
1974,30905.0,306.9945205479452,233.17808219178082,365
1975,30053.0,305.3835616438356,233.78630136986303,365
1976,21475.0,310.88524590163934,229.27868852459017,366
1977,20815.0,318.4219178082192,235.3095890410959,365
1978,23642.0,317.1013698630137,242.42191780821918,365
1979,21901.0,316.14246575342463,240.4191780821918,365
1980,25561.0,314.4918032786885,238.82513661202185,366
1981,17297.0,317.5917808219178,,365
1982,23557.0,318.5890410958904,,365
1983,26120.0,319.53698630136984,,365
1984,20785.0,312.29234972677597,,366
1985,23715.0,312.7808219178082,,365
1986,27971.0,311.7237354085603,231.47491638795987,365
1987,22012.0,321.9726962457338,232.43478260869566,365
1988,28852.0,316.3520599250936,230.9618320610687,366
1989,15557.0,320.8487972508591,228.1355140186916,365
1990,24655.0,323.0247678018576,235.34814814814814,365
1991,19839.0,322.748502994012,233.16883116883116,365
1992,17867.0,321.94900849858357,229.8864864864865,366
1993,29792.0,317.1297709923664,231.3684210526316,365
1994,28342.0,319.4964788732394,227.5978835978836,365
1995,25834.0,319.7193675889328,234.71238938053096,365
1996,23237.0,321.39130434782606,237.45247148288973,366
1997,18720.0,317.23809523809524,238.60743801652893,365
1998,30674.0,335.5,242.38571428571427,365
1999,1881.0,310.09615384615387,238.82,364
2000,16979.0,325.03846153846155,241.67164179104478,366
2001,14902.0,321.6666666666667,243.2861952861953,365
2002,19205.0,340.0,244.51041666666666,365
2003,27090.0,315.9702380952381,240.57758620689654,365
2004,22286.0,322.353488372093,240.5531914893617,366
2005,21948.0,323.35555555555555,244.43984962406014,365
2006,24710.0,320.11309523809524,237.90748898678413,365
2007,30692.0,318.72058823529414,228.46694214876032,365
2008,24329.0,317.74545454545455,228.0408163265306,366
2009,27114.0,318.7840531561462,226.12979351032448,365
2010,29886.0,320.68402777777777,238.64236111111111,365
2011,31954.0,316.6756756756757,239.6796875,365
2012,33073.0,317.96024464831805,236.31768953068593,366
2013,29731.0,317.5880281690141,235.20735785953178,365
2014,29374.0,320.23674911660777,229.85668789808918,365
2015,28784.0,324.45697329376856,232.46381578947367,365
2016,39751.0,323.8606060606061,238.26492537313433,366
2017,31446.0,319.98432601880876,232.4738562091503,365
2018,29989.0,325.19883040935673,234.0744680851064,365
2019,25708.0,324.4778325123153,232.24755700325733,365
2020,29927.0,325.6079295154185,228.82492581602375,366
2021,29443.0,320.88793103448273,230.0376712328767,362
2022,34571.0,318.29126213592235,237.2713567839196,365
2023,25023.0,325.19718309859155,243.61666666666667,365
2024,27752.0,340.31413612565444,236.0,290
