DATE,PRCP,TMAX,TMIN,NROWS
1998,1906.0,220.3734939759036,120.05882352941177,188
1999,3897.0,193.9257142857143,74.78787878787878,353
2000,5258.0,163.22857142857143,69.07232704402516,363
2001,7819.0,215.21172638436482,81.62269938650307,357
2002,6448.0,181.88529411764705,66.29276315789474,356
2003,9271.0,186.9622093023256,72.3,353
2004,7727.0,181.60830860534125,56.1875,366
2005,8497.0,186.45762711864407,58.05685618729097,365
2006,9129.0,181.83898305084745,47.91612903225806,365
2007,8337.0,163.01685393258427,37.950819672131146,365
2008,6799.0,170.28925619834712,36.571917808219176,366
2009,12230.0,184.66481994459835,60.4270462633452,365
2010,9573.0,217.01123595505618,88.15772870662461,365
2011,8814.0,183.3221288515406,67.54642857142858,365
2012,11396.0,188.26330532212884,75.96835443037975,366
2013,6600.0,105.82051282051282,72.13479623824452,365
2014,7663.0,267.2352941176471,82.43452380952381,365
2015,8070.0,,77.80185758513932,365
2016,9127.0,,71.3202614379085,366
2017,7073.0,146.47619047619048,109.19341563786008,365
2018,11261.0,162.92857142857142,110.54187192118226,364
2019,9459.0,124.5,97.33035714285714,365
2020,8331.0,94.0,90.51219512195122,366
2021,6443.0,221.83597883597884,109.01293103448276,362
2022,8234.0,172.38325991189427,98.45490196078431,365
2023,12182.0,189.7,108.56930693069307,365
2024,5109.0,194.83116883116884,117.40182648401826,288
