DATE,PRCP,TMAX,TMIN,NROWS
1988,4513.0,,,305
1989,7436.0,,,305
1990,12321.0,,,365
1991,10778.0,,,365
1992,9067.0,,,366
1993,14558.0,,,365
1994,9582.0,,,365
1995,9455.0,,,365
1996,7810.0,,,366
1997,7803.0,,,365
1998,11804.0,,,365
1999,8709.0,,,365
2000,8739.0,,,366
2001,9067.0,,,365
2002,10420.0,,,365
2003,9333.0,,,365
2004,8617.0,,,366
2005,6079.0,,,365
2006,7798.0,,,365
2007,7080.0,,,365
2008,12648.0,,,366
2009,8819.0,,,304
2010,6278.0,,,243
2011,7240.0,,,69
2012,6346.0,,,188
2013,8231.0,,,212
2014,3002.0,128.11475409836066,23.62295081967213,122
2015,11809.0,169.02739726027397,58.416438356164385,365
2016,7668.0,176.8879781420765,44.784946236559136,366
2017,8230.0,183.8739726027397,66.85989010989012,365
2018,11207.0,170.37808219178083,58.75068493150685,365
2019,11757.0,164.40419161676647,58.464071856287426,334
2020,8926.0,173.99726775956285,63.28415300546448,366
2021,12126.0,174.9808219178082,72.16438356164383,365
2022,9397.0,168.95068493150686,55.9972602739726,365
2023,7431.0,186.13698630136986,62.78904109589041,365
2024,7795.0,197.80708661417322,83.08267716535433,254
