DATE,PRCP,NROWS
1940,9532.0,215
1941,11743.0,308
1942,16945.0,365
1943,16371.0,365
1944,17761.0,341
1945,17001.0,365
1946,15737.0,345
1947,21909.0,326
1948,17333.0,366
1949,16645.0,365
1950,15203.0,365
1951,12710.0,365
1952,10891.0,366
1953,16909.0,365
1954,8723.0,365
1955,12542.0,365
1956,11153.0,343
1957,15820.0,362
1958,15486.0,365
1959,14757.0,365
1960,14002.0,364
1961,24036.0,365
1962,12915.0,365
1963,9889.0,365
1964,16472.0,366
1965,11546.0,365
1966,16098.0,365
1967,12397.0,365
1968,13744.0,366
1969,11765.0,365
1970,14863.0,365
1971,15501.0,365
1972,15649.0,366
1973,18761.0,365
1974,17081.0,365
1975,20035.0,365
1976,14047.0,366
1977,15359.0,365
1978,11385.0,365
1979,19058.0,365
1980,19533.0,366
1981,12061.0,365
1982,19361.0,365
1983,18928.0,365
1984,15257.0,366
1985,16104.0,364
1986,13102.0,337
1987,14975.0,365
1988,16503.0,366
1989,15274.0,365
1990,17872.0,365
1991,18519.0,365
1992,18116.0,366
1993,15299.0,365
1994,15183.0,365
1995,11803.0,365
1996,14196.0,366
1997,18273.0,365
1998,15428.0,365
1999,13390.0,365
2000,12176.0,366
2001,18376.0,365
2002,18240.0,365
2003,13683.0,365
2004,15007.0,366
2005,14835.0,365
2006,11878.0,365
2007,12634.0,365
2008,15307.0,366
2009,18516.0,365
2010,9448.0,364
2011,14279.0,365
2012,18519.0,348
2013,17543.0,365
2014,17283.0,365
2015,16226.0,365
2016,12270.0,366
2017,17389.0,365
2018,12420.0,243
2020,12176.0,246
2021,18442.0,334
2022,16195.0,365
2023,12474.0,365
2024,10366.0,87
