DATE,PRCP,TMAX,TMIN,NROWS
1978,1340.0,,,93
1979,6138.0,,,365
1980,7589.0,,,366
1981,8549.0,,,365
1982,8673.0,,,365
1983,10069.0,,,365
1984,8466.0,,,366
1985,6720.0,,,365
1986,9004.0,,,365
1987,8900.0,,,365
1988,6775.0,,,366
1989,6785.0,,,365
1990,6329.0,,,365
1991,8844.0,,,365
1992,6125.0,,,366
1993,7400.0,,,365
1994,6811.0,,,365
1995,9222.0,,,365
1996,8029.0,,,366
1997,8056.0,,,365
1998,8493.0,,,365
1999,7874.0,,,365
2000,6756.0,,,366
2001,5776.0,,,365
2002,5647.0,,,365
2003,7957.0,,,365
2004,7476.0,,,366
2005,7262.0,,,365
2006,7138.0,24.842105263157894,-74.21052631578948,365
2007,6187.0,82.44657534246575,-31.774725274725274,365
2008,7781.0,64.8879781420765,-47.05464480874317,366
2009,7433.0,69.12602739726027,-41.64931506849315,365
2010,8772.0,70.43835616438356,-39.36164383561644,365
2011,9137.0,65.06849315068493,-44.342465753424655,365
2012,5985.0,84.53005464480874,-28.439890710382514,366
2013,7917.0,72.45054945054945,-40.82142857142857,365
2014,8218.0,76.38082191780822,-33.676712328767124,365
2015,6994.0,84.4904109589041,-27.224657534246575,365
2016,8956.0,82.7896174863388,-29.592896174863387,366
2017,8623.0,84.3021978021978,-27.810439560439562,365
2018,6232.0,82.68767123287671,-35.11780821917808,365
2019,8564.0,72.69315068493151,-42.87397260273973,365
2020,6076.0,84.11506849315069,-35.47671232876712,366
2021,8164.0,83.52602739726028,-31.67945205479452,365
2022,7884.0,78.37534246575342,-40.86027397260274,365
2023,8415.0,74.11232876712329,-40.23561643835617,365
2024,6041.0,99.92542372881356,-19.427118644067797,296
