DATE,PRCP,TMAX,TMIN,NROWS
1980,1446.0,,,94
1981,9115.0,,,365
1982,9003.0,,,365
1983,12436.0,,,365
1984,11619.0,,,366
1985,9867.0,,,365
1986,9668.0,,,365
1987,7912.0,,,365
1988,7604.0,,,366
1989,5450.0,,,365
1990,8842.0,,,365
1991,8190.0,,,365
1992,8638.0,,,366
1993,8350.0,,,365
1994,10019.0,,,365
1995,10140.0,,,365
1996,9158.0,,,366
1997,10219.0,,,365
1998,10620.0,,,365
1999,8542.0,,,365
2000,8335.0,,,366
2001,7299.0,,,365
2002,5807.0,,,365
2003,8117.0,,,365
2004,8628.0,,,366
2005,9056.0,,,365
2006,8443.0,,,365
2007,7895.0,,,365
2008,8805.0,,,366
2009,7691.0,,,365
2010,11774.0,,,365
2011,10154.0,,,365
2012,7771.0,,,366
2013,7740.0,122.25531914893617,-5.513677811550152,365
2014,8202.0,122.47945205479452,-2.682191780821918,365
2015,7940.0,122.88767123287671,0.3835616438356164,365
2016,8114.0,125.76502732240438,-1.407103825136612,366
2017,8117.0,127.53698630136986,0.3506849315068493,365
2018,7997.0,126.02191780821917,-3.2794520547945205,365
2019,10331.0,114.5123287671233,-14.131506849315068,365
2020,4741.0,127.45098039215686,-6.294117647058823,366
2021,9875.0,128.33150684931508,-2.4054794520547946,365
2022,6722.0,124.23013698630137,-10.61917808219178,365
2023,8684.0,117.36438356164383,-11.364383561643836,365
2024,6698.0,144.95254237288137,14.722033898305085,296
