DATE,PRCP,TMAX,TMIN,NROWS
1980,1442.0,,,206
1981,13554.0,,,365
1982,15304.0,,,365
1983,16238.0,,,365
1984,7124.0,,,366
1985,6874.0,,,365
1986,10357.0,,,365
1987,6262.0,,,365
1988,6242.0,0.0,0.0,366
1989,8242.0,145.52881355932203,19.09491525423729,365
1990,5624.0,-77.07692307692308,-218.12146892655366,365
1991,7803.0,130.07123287671232,-13.69041095890411,365
1992,7251.0,141.6231884057971,6.109090909090909,366
1993,8874.0,92.48547717842324,-27.842323651452283,365
1994,6994.0,134.31231231231232,-3.7035928143712575,365
1995,12607.0,133.67307692307693,6.338842975206612,365
1996,16317.0,137.87671232876713,8.98904109589041,366
1997,8038.0,135.93150684931507,5.616438356164384,365
1998,12049.0,120.6986301369863,-3.7150684931506848,365
1999,7612.0,137.41483516483515,1.4065934065934067,365
2000,7936.0,137.40437158469945,7.270491803278689,366
2001,7078.0,147.38082191780822,10.169863013698631,365
2002,7486.0,146.2219178082192,4.186301369863013,365
2003,7662.0,143.24788732394367,14.932203389830509,365
2004,8066.0,139.7622950819672,19.360655737704917,366
2005,13507.0,130.9917808219178,18.50958904109589,365
2006,10257.0,134.16164383561645,15.563186813186814,365
2007,6244.0,140.56164383561645,18.04945054945055,365
2008,8199.0,139.9207650273224,16.53551912568306,366
2009,8763.0,137.9753424657534,16.756164383561643,365
2010,14037.0,127.59452054794521,11.997260273972604,365
2011,8376.0,127.52892561983471,10.84297520661157,365
2012,11373.0,141.19398907103826,21.546448087431695,366
2013,2890.0,143.8849315068493,19.493150684931507,365
2014,7861.0,147.15616438356165,30.126027397260273,365
2015,7486.0,147.65479452054794,28.35890410958904,365
2016,12108.0,142.172131147541,24.330601092896174,366
2017,17007.0,138.66575342465754,23.416438356164385,365
2018,9063.0,142.96712328767123,23.898630136986302,365
2019,13684.0,129.84383561643835,15.824657534246576,365
2020,5221.0,150.23497267759564,25.773224043715846,366
2021,10147.0,149.45205479452054,27.93972602739726,365
2022,8704.0,145.74794520547945,23.632876712328766,365
2023,11144.0,132.82739726027398,17.09315068493151,365
2024,7210.0,159.28716216216216,36.84121621621622,296
