DATE,PRCP,TMAX,TMIN,NROWS
1948,9617,177.77437325905294,66.5292479108635,359
1949,10288,186.3041095890411,77.91506849315068,365
1950,13528,166.78630136986303,61.178082191780824,365
1951,9969,174.7835616438356,65.46027397260274,365
1952,9557,182.03005464480876,72.92622950819673,366
1953,7526,191.97260273972603,72.83561643835617,365
1954,8746,187.3123287671233,73.65479452054795,365
1955,11085,182.95068493150686,70.42465753424658,365
1956,11142,176.8087431693989,71.43715846994536,366
1957,11513,179.05753424657533,72.59726027397261,365
1958,9461,163.0958904109589,58.98082191780822,365
1959,10418,185.813698630137,73.75068493150685,365
1960,8973,171.12568306010928,63.59836065573771,366
1961,9751,175.52876712328768,69.59726027397261,365
1962,10895,177.8876712328767,57.4986301369863,365
1963,7115,171.06301369863013,40.967123287671235,365
1964,11155,189.36612021857923,56.7896174863388,366
1965,9743,176.64931506849314,62.69315068493151,365
1966,9832,168.47397260273974,61.05205479452055,365
1967,8960,172.65479452054794,64.4986301369863,365
1968,10810,174.39617486338798,65.65573770491804,366
1969,8638,171.8931506849315,63.827397260273976,365
1970,10376,181.6164383561644,70.55616438356165,365
1971,10334,181.24383561643836,70.41095890410959,365
1972,11519,164.72131147540983,60.67213114754098,366
1973,12559,176.17534246575343,73.95342465753424,365
1974,11887,172.4794520547945,67.97534246575343,365
1975,11236,183.2931506849315,72.20821917808219,365
1976,7698,172.00819672131146,49.278688524590166,366
1977,10570,169.84109589041097,58.35890410958904,365
1978,11899,160.48219178082192,52.55068493150685,365
1979,13414,159.9150684931507,56.917808219178085,365
1980,9433,165.0,58.46994535519126,366
1981,8783,170.11780821917807,58.12328767123287,365
1982,11472,178.1917808219178,69.21643835616439,365
1983,10855,173.46301369863014,65.67123287671232,365
1984,10672,170.48360655737704,65.23224043715847,366
1985,11215,172.42465753424656,68.4986301369863,365
1986,8555,179.86575342465753,73.36712328767123,365
1987,8289,187.52602739726026,71.2027397260274,365
1988,10155,181.17486338797815,56.40983606557377,366
1989,12612,170.85205479452054,64.46301369863014,365
1990,14627,189.54246575342466,79.77808219178083,365
1991,10192,187.34246575342465,82.95890410958904,365
1992,9531,169.4808743169399,67.71584699453553,366
1993,9844,174.57534246575344,67.2027397260274,365
1994,9737,177.25753424657535,67.42191780821918,365
1995,11087,174.65479452054794,64.5095890410959,365
1996,13575,163.54098360655738,57.81693989071038,366
1997,10198,167.74520547945207,59.81917808219178,365
1998,13059,187.55342465753424,82.16986301369863,365
1999,8252,187.02191780821917,66.46849315068494,365
2000,11647,171.44808743169398,62.94808743169399,366
2001,11835,180.4986301369863,72.36164383561643,365
2002,11627,180.95616438356166,75.69315068493151,365
2003,10900,166.186301369863,65.62465753424658,365
2004,12282,172.3087431693989,72.88251366120218,366
2005,10033,179.9041095890411,74.91506849315068,365
2006,11818,183.51232876712328,79.35068493150685,365
2007,9328,192.06849315068493,77.92328767123287,365
2008,11609,176.43715846994536,64.53825136612022,366
2009,10962,171.64383561643837,69.51506849315068,365
2010,9321,181.02191780821917,70.37260273972603,365
2011,18614,182.44931506849315,80.35616438356165,365
2012,9855,197.28142076502732,81.64207650273224,366
2013,12577,173.2082191780822,71.68493150684931,365
2014,10755,169.72602739726028,61.6,365
2015,12425,183.22739726027396,75.07671232876713,365
2016,11291,189.98360655737704,83.68306010928961,366
2017,12822,187.45753424657534,80.67671232876712,365
2018,14203,180.7945205479452,82.01917808219179,365
2019,13400,188.4849315068493,80.58082191780822,365
2020,12102,185.56830601092895,82.6584699453552,366
2021,12690,186.12876712328767,82.97808219178083,365
2022,11678,182.43835616438355,76.43835616438356,365
2023,10000,190.85479452054796,82.16986301369863,365
2024,8755,216.125,104.16554054054055,296
