DATE,PRCP,NROWS,MULT
1950,36301.0,365,1.0
1951,11894.0,362,0.3276493760502466
1952,18569.0,366,1.5612073314276105
1953,24895.0,365,1.3406753190801874
1954,32678.0,365,1.312633058847158
1955,28531.0,365,0.8730950486565885
1956,29248.0,366,1.025130559742035
1957,17804.0,365,0.6087253829321663
1958,15937.0,365,0.8951359245113457
1959,23039.0,359,1.4456296668130766
1960,18791.0,364,0.8156169972655063
1961,9492.0,365,0.5051354371773722
1962,21622.0,361,2.277918246944796
1963,19610.0,357,0.9069466284340024
1964,18867.0,356,0.9621111677715452
1965,16592.0,345,0.8794190915354853
1966,10026.0,353,0.6042671166827387
1967,14047.0,349,1.4010572511470178
1968,13154.0,352,0.9364277069836976
1969,9566.0,358,0.7272312604530942
1970,15879.0,352,1.6599414593351454
1971,17695.0,356,1.1143648844385667
1972,18000.0,353,1.017236507487991
1973,21883.0,354,1.2157222222222221
1974,31074.0,361,1.4200063976602841
1975,17796.0,349,0.5726974319366673
1976,12038.0,339,0.6764441447516296
1977,23317.0,338,1.9369496594118625
1978,14070.0,335,0.6034223956769739
1979,15210.0,338,1.0810234541577826
1980,8786.0,309,0.5776462853385931
1981,26266.0,313,2.9895287958115184
1982,12671.0,329,0.4824107210842915
1983,13630.0,343,1.075684634204088
1984,14650.0,340,1.07483492296405
1985,10204.0,334,0.696518771331058
1986,9747.0,318,0.9552136417091337
1987,5050.0,300,0.5181081358366677
1988,8970.0,296,1.7762376237623763
1989,14182.0,286,1.5810479375696767
1990,14716.0,304,1.0376533634184177
1991,13233.0,308,0.899225332970916
1992,6328.0,304,0.4781984432857251
1993,10017.0,281,1.5829646017699115
1994,7354.0,327,0.7341519416991115
1995,17271.0,364,2.3485178134348654
1996,13148.0,365,0.7612761276127613
1997,23200.0,365,1.7645269242470338
1998,27863.0,365,1.2009913793103448
1999,26512.0,365,0.9515127588558303
2000,35757.0,366,1.3487100181050091
2001,14482.0,365,0.4050116061190816
2002,9210.0,365,0.6359618837177186
2003,14002.0,364,1.5203040173724214
2004,13645.0,358,0.974503642336809
2005,11727.0,363,0.8594356907292048
2006,5278.0,59,0.45007248230579006
2007,19839.0,364,3.7588101553618793
2008,17325.0,366,0.8732799032209285
2009,33088.0,365,1.90984126984127
2010,41853.0,238,1.264899661508704
2011,28838.0,162,0.6890306549112369
2012,33863.0,184,1.1742492544559262
2013,16041.0,108,0.4737028615302838
2014,16575.0,365,1.0332896951561623
2015,10688.0,364,0.6448265460030166
2016,19610.0,366,1.8347679640718564
2017,17052.0,364,0.8695563488016318
2018,28354.0,365,1.6627961529439361
2019,26727.0,364,0.9426183254567256
2020,17809.0,364,0.6663299285366857
