DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,7332.0,130.04109589041096,28.03835616438356,365,1.0
1951,5800.0,132.35890410958905,31.72328767123288,365,0.7910529187124932
1952,8065.0,121.11475409836063,25.07103825136612,366,1.3905172413793103
1953,4540.0,134.55890410958904,26.493150684931507,365,0.5629262244265344
1954,8419.0,114.1013698630137,24.90958904109589,365,1.8544052863436122
1955,7541.0,112.73424657534248,20.915068493150685,365,0.895712079819456
1956,7536.0,105.91803278688523,14.295081967213116,366,0.9993369579631348
1957,7168.0,123.02465753424656,30.556164383561644,365,0.9511677282377919
1958,7135.0,120.56438356164384,30.83013698630137,365,0.9953962053571429
1959,5191.0,137.72054794520548,27.53972602739726,365,0.7275402943237561
1960,7023.0,120.5,34.05191256830601,366,1.3529185128106338
1961,6807.0,128.06301369863013,39.24383561643835,365,0.9692439128577531
1962,5040.0,109.8986301369863,20.36438356164384,365,0.7404142794182459
1963,6159.0,112.96712328767124,21.263013698630136,365,1.2220238095238096
1964,4728.0,118.53551912568308,28.25136612021858,366,0.7676570871894788
1965,8636.0,110.5945205479452,28.572602739726022,365,1.8265651438240271
1966,8827.0,122.33424657534246,40.73972602739726,365,1.0221167207040296
1967,7339.0,126.1917808219178,37.28219178082192,365,0.8314263056531098
1968,7679.0,116.00546448087432,32.17486338797814,366,1.0463278375800518
1969,5506.0,117.2164383561644,29.43013698630137,365,0.7170204453704909
1970,9538.0,109.57260273972602,31.383561643835616,365,1.7322920450417727
1971,5647.0,124.63561643835617,27.767123287671232,365,0.5920528412665129
1972,5948.0,116.05464480874316,29.379781420765028,366,1.0533026385691517
1973,5794.0,119.37808219178082,26.66849315068493,365,0.9741089441829186
1974,7894.0,123.17534246575345,41.83835616438356,365,1.3624439074905075
1975,6176.0,124.42465753424658,40.38356164383562,365,0.782366354193058
1976,4858.0,122.7431693989071,32.46994535519126,366,0.7865932642487047
1977,6993.0,120.68493150684932,40.47671232876712,365,1.4394812680115274
1978,7478.0,108.72054794520548,32.83835616438356,365,1.0693550693550693
1979,6996.0,116.0191780821918,34.0986301369863,365,0.9355442631719711
1980,7391.0,107.77322404371584,31.27322404371585,366,1.0564608347627216
1981,8820.0,116.67671232876712,36.6054794520548,365,1.1933432553105128
1982,5442.0,127.48219178082192,39.97260273972603,365,0.6170068027210884
1983,6279.0,129.9095890410959,39.821917808219176,365,1.1538037486218302
1984,6997.0,112.92622950819673,35.068306010928964,366,1.1143494186972447
1985,6343.0,114.36438356164383,26.02739726027397,365,0.9065313705873946
1986,7593.0,121.33424657534246,32.25753424657534,365,1.1970676336118555
1987,7770.0,109.63013698630137,29.895890410958906,365,1.0233109442907942
1988,7767.0,124.79781420765028,44.42896174863388,366,0.9996138996138996
1989,6923.0,130.9890410958904,42.9972602739726,365,0.8913351358310803
1990,5965.0,133.1917808219178,41.95342465753425,365,0.8616206846742741
1991,5787.0,121.47123287671234,33.84109589041096,365,0.9701592623637888
1992,7120.0,130.3169398907104,45.15027322404372,366,1.2303438742007948
1993,7083.0,125.06849315068492,36.824657534246576,365,0.9948033707865168
1994,6752.0,138.94246575342467,50.74520547945205,365,0.9532683891006636
1995,7915.0,123.46027397260274,41.66849315068493,365,1.1722452606635072
1996,6031.0,107.70218579234972,27.11748633879781,366,0.7619709412507897
1997,5788.0,127.14794520547945,36.16438356164384,365,0.9597081744321008
1998,9150.0,126.83835616438355,42.72876712328768,365,1.5808569454042847
1999,6546.0,128.46027397260275,44.31232876712329,365,0.7154098360655737
2000,7003.0,136.0054644808743,48.71311475409836,366,1.0698136266422242
2001,8422.0,125.52328767123288,39.271232876712325,365,1.2026274453805512
2002,9939.0,131.64657534246575,44.14520547945205,365,1.180123486107813
2003,5380.0,141.26849315068492,35.57808219178082,365,0.541301941845256
2004,7575.0,125.39890710382514,35.31967213114754,366,1.407992565055762
2005,5804.0,127.5123287671233,34.62739726027397,365,0.7662046204620462
2006,7225.0,133.6986301369863,41.88219178082192,365,1.2448311509303929
2007,8643.0,137.26849315068492,48.78630136986301,365,1.1962629757785468
2008,7110.0,133.28415300546447,46.486338797814206,366,0.8226310308920514
2009,7961.0,129.75068493150684,43.45479452054794,365,1.119690576652602
2010,7695.0,115.6,31.22739726027397,365,0.9665871121718377
2011,7069.0,137.5917808219178,45.43561643835616,365,0.918648473034438
2012,6374.0,135.22677595628414,40.94808743169399,366,0.9016834064224077
2013,7712.0,123.69041095890412,42.52054794520548,365,1.2099152808283653
2014,6094.0,144.96986301369864,55.38356164383562,365,0.7901970954356846
2015,5960.0,144.16164383561645,52.2958904109589,365,0.9780111585165737
2016,6690.0,134.67486338797815,48.59289617486339,366,1.1224832214765101
2017,7275.0,136.7917808219178,45.85479452054795,365,1.0874439461883407
2018,5377.0,152.75890410958905,53.61369863013699,365,0.7391065292096219
2019,6301.0,146.0958904109589,49.484931506849314,365,1.1718430351497118
2020,6338.0,143.56830601092895,48.55737704918032,366,1.0058720837962227
