DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,5102,,,365,1.0
1951,4389,,,365,0.860250882007056
1952,5471,118.2803738317757,64.07476635514018,366,1.2465254044201413
1953,3225,109.75890410958904,54.87945205479452,365,0.5894717601900932
1954,5392,92.74246575342464,44.86027397260274,365,1.671937984496124
1955,4454,99.53698630136986,44.04383561643836,365,0.8260385756676558
1956,4120,87.98907103825137,32.92896174863388,366,0.9250112258643916
1957,5078,102.07671232876712,50.44383561643836,365,1.2325242718446603
1958,6051,93.20891364902506,45.608219178082194,365,1.1916108704214257
1959,4013,113.4,60.654794520547945,365,0.6631961659229879
1960,6239,97.4726775956284,50.49180327868852,366,1.554697233989534
1961,5014,107.67397260273972,58.12054794520548,365,0.803654431799968
1962,4774,90.1945205479452,41.65753424657535,365,0.9521340247307539
1963,4182,88.71506849315068,38.33972602739726,365,0.8759949727691663
1964,3549,96.39890710382514,44.99180327868852,366,0.8486370157819225
1965,5692,89.77260273972603,40.78630136986301,365,1.603832065370527
1966,5553,91.25479452054796,41.67397260273973,365,0.9755797610681658
1967,5353,106.43013698630136,53.02739726027397,365,0.9639834323788943
1968,6344,102.8224043715847,49.87158469945355,366,1.1851298337380909
1969,4470,99.18082191780822,45.8054794520548,365,0.7046027742749055
1970,6091,88.95616438356164,36.94794520547945,365,1.3626398210290829
1971,3485,102.26575342465752,48.035616438356165,365,0.5721556394680677
1972,3667,104.83333333333331,54.71311475409836,366,1.0522238163558106
1973,4285,110.9972602739726,52.53972602739726,365,1.168530133624216
1974,5119,107.23835616438356,54.91232876712328,365,1.19463243873979
1975,3982,118.28219178082192,61.41917808219178,365,0.7778863059191248
1976,4448,100.97814207650272,45.22131147540984,366,1.1170266197890508
1977,6243,101.75068493150684,50.66301369863014,365,1.4035521582733812
1978,4879,97.213698630137,45.55616438356165,365,0.7815152971327888
1979,5090,89.61917808219178,38.21369863013699,365,1.0432465669194506
1980,5016,96.3360655737705,44.63661202185792,366,0.9854616895874263
1981,6440,94.84657534246575,44.156164383561645,365,1.2838915470494419
1982,4677,104.97534246575344,53.11780821917808,365,0.7262422360248447
1983,5098,106.5972602739726,56.08493150684932,365,1.0900149668590977
1984,4912,101.42622950819673,56.22950819672131,366,0.9635151039623382
1985,6279,84.13150684931507,33.06575342465754,365,1.2782980456026058
1986,4890,92.63287671232877,40.08493150684932,365,0.7787864309603441
1987,5000,84.56712328767124,34.97260273972603,365,1.0224948875255624
1988,6119,103.67213114754098,54.05191256830601,366,1.2238
1989,3398,120.77534246575344,66.7013698630137,365,0.5553194966497794
1990,4754,121.55068493150684,69.4876712328767,365,1.3990582695703355
1991,4919,105.37808219178082,56.72328767123288,365,1.034707614640303
1992,4605,116.73497267759562,63.48360655737705,366,0.9361658873754828
1993,5457,101.3890410958904,52.47123287671233,365,1.1850162866449512
1994,6308,111.93424657534248,62.08767123287672,365,1.155946490745831
1995,4877,109.61643835616438,58.88219178082192,365,0.773145212428662
1996,5028,92.74590163934428,45.74316939890711,366,1.0309616567562025
1997,4030,109.27671232876712,57.36164383561644,365,0.8015115354017502
1998,5295,98.03561643835616,53.12876712328767,365,1.313895781637717
1999,6188,108.02465753424656,60.68219178082192,365,1.1686496694995279
2000,5245,113.16666666666669,67.33060109289617,366,0.8476082740788623
2001,5719,105.47945205479452,57.24109589041096,365,1.090371782650143
2002,6039,110.47123287671234,63.465753424657535,365,1.0559538380835811
2003,4225,107.31920903954804,54.932203389830505,365,0.6996191422420931
2004,4915,105.29781420765028,55.97540983606557,366,1.1633136094674557
2005,3754,108.25753424657536,59.12328767123287,365,0.7637843336724314
2006,5262,112.36438356164383,65.85479452054794,365,1.4017048481619605
2007,7185,113.25479452054796,65.6082191780822,365,1.3654503990877993
2008,4727,114.16120218579236,67.23770491803279,366,0.6578983994432847
2009,4171,106.62465753424658,60.11506849315069,365,0.8823778294901629
2010,5497,93.25205479452056,45.2958904109589,365,1.3179093742507793
2011,5130,106.72876712328768,59.35342465753425,365,0.9332363107149354
2012,5149,103.34699453551912,55.58196721311475,366,1.0037037037037038
2013,4766,107.06301369863014,60.86849315068493,365,0.9256166245872985
2014,5850,119.67671232876712,77.02465753424657,365,1.2274443978178766
2015,5225,117.0,70.55342465753425,365,0.8931623931623932
2016,4441,115.18032786885246,67.99453551912568,366,0.8499521531100478
2017,6043,110.65479452054797,65.56164383561644,365,1.3607295654131952
2018,3839,120.62739726027397,71.01643835616439,365,0.6352804898229356
2019,4946,120.24383561643836,72.92054794520548,365,1.2883563427976035
2020,4189,128.09562841530055,80.39890710382514,366,0.8469470279013344
