DATE,PRCP,TMAX,NROWS,MULT
1950,7634.0,,365,1.0
1951,4867.0,,365,0.6375425727010742
1952,2444.0,,363,0.5021573864803781
1953,4668.0,,365,1.9099836333878888
1954,3298.0,,365,0.7065124250214224
1955,3472.0,,365,1.0527592480291086
1956,3066.0,,366,0.8830645161290323
1957,5543.0,,365,1.8078930202217873
1958,6072.0,,365,1.095435684647303
1959,5260.0,,365,0.8662714097496707
1960,5779.0,,365,1.0986692015209125
1961,7305.0,,365,1.2640595258695275
1962,6457.0,,365,0.8839151266255989
1963,3355.0,,365,0.5195911413969335
1964,4070.0,,366,1.2131147540983607
1965,5209.0,,365,1.27985257985258
1966,3937.0,,365,0.7558072566711461
1967,4818.0,,365,1.2237744475488952
1968,5349.0,,366,1.110211706102117
1969,5105.0,,365,0.9543839970087867
1970,3641.0,,365,0.7132223310479922
1971,5883.0,,365,1.6157648997528151
1972,4650.0,,366,0.7904130545639979
1973,5849.0,,365,1.2578494623655914
1974,3847.0,,365,0.657719268250983
1975,4419.0,,365,1.1486872887964648
1976,3534.0,,366,0.7997284453496266
1977,4172.0,,365,1.180531975099038
1978,4919.0,,365,1.1790508149568553
1979,6081.0,,365,1.236226875381175
1980,4970.0,,366,0.8172997862193718
1981,5247.0,398.5,365,1.0557344064386318
1982,4816.0,,364,0.9178578235182009
1983,4790.0,,364,0.9946013289036545
1984,5160.0,,366,1.0772442588726514
1985,5888.0,,344,1.1410852713178294
1986,6078.0,,364,1.0322690217391304
1987,7358.0,,365,1.2105955906548207
1988,4804.0,,366,0.6528948083718402
1989,5774.0,,358,1.2019150707743547
1990,4315.0,,365,0.7473155524766193
1991,5004.0,,365,1.159675550405562
1992,5833.0,,366,1.1656674660271782
1993,5683.0,,365,0.9742842448139893
1994,6809.0,,365,1.1981347879641036
1995,5334.0,,365,0.7833749449258335
1996,5287.0,,366,0.9911886014248219
1997,6247.0,,365,1.1815774541327786
1998,5769.0,,365,0.9234832719705459
1999,6051.0,,365,1.0488819552782112
2000,5165.0,,366,0.8535779210047926
2001,3690.0,,365,0.7144240077444337
2002,3775.0,,365,1.0230352303523036
2003,5729.0,,365,1.517615894039735
2004,7151.0,,366,1.248210857043114
2005,4077.0,,335,0.5701300517410153
2006,4954.0,,365,1.2151091488839834
2007,5468.0,,317,1.1037545417844166
2008,4703.0,,366,0.8600950987564009
2009,4695.0,,365,0.9982989581118435
2010,6452.0,,365,1.3742279020234291
2011,1961.0,,365,0.30393676379417234
2012,2899.0,,366,1.4783273839877613
2013,4709.0,,365,1.6243532252500863
2014,3358.0,,334,0.7131025695476747
2015,7334.0,,298,2.184038117927338
2016,4017.0,,366,0.5477229342787019
2017,7953.0,,365,1.9798356982823002
2018,7182.0,,365,0.9030554507732931
2019,8473.0,,365,1.1797549429128376
2020,3358.0,,366,0.3963177150950077
