DATE,PRCP,NROWS,MULT
2000,4929.0,366,1.0
2001,1291.0,364,0.2619192533982552
2002,2806.0,365,2.173508907823393
2003,2690.0,365,0.9586600142551674
2004,2608.0,366,0.9695167286245353
2005,1470.0,365,0.5636503067484663
2006,4843.0,365,3.2945578231292516
2007,914.0,365,0.18872599628329548
2008,2556.0,366,2.7964989059080962
2009,1852.0,365,0.7245696400625978
2010,1570.0,337,0.847732181425486
2011,2980.0,365,1.8980891719745223
2012,3396.0,337,1.1395973154362415
2013,2268.0,340,0.6678445229681979
2014,2488.0,365,1.0970017636684304
2015,3436.0,279,1.3810289389067525
2016,3258.0,265,0.9481955762514552
2017,3108.0,346,0.9539594843462247
2018,2964.0,364,0.9536679536679536
2019,1538.0,364,0.5188933873144399
2020,1972.0,366,1.282184655396619
2021,2426.0,365,1.2302231237322516
2022,2997.0,364,1.2353668590272053
2023,1682.0,365,0.5612278945612279
