DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,9645.0,319.46027397260275,173.08219178082192,366,1.0
2001,3894.0,333.30193905817174,170.5180055401662,365,0.4037325038880249
2002,2339.0,338.5718309859155,170.70604395604394,365,0.6006676938880329
2003,3353.0,334.5698324022346,183.2765363128492,365,1.4335185976913212
2004,5327.0,330.3159340659341,176.6353591160221,366,1.5887265135699373
2005,2758.0,336.8050139275766,186.3983286908078,364,0.5177398160315374
2006,4839.0,325.0870786516854,177.36288088642658,365,1.7545322697606962
2007,5789.0,322.7843137254902,176.59943977591035,365,1.1963215540400909
2008,4843.0,324.4325842696629,169.06741573033707,363,0.8365866298151667
2009,5871.0,328.0914285714286,168.53142857142856,365,1.2122651249225687
2010,8095.0,322.0581717451524,177.84679665738162,365,1.3788111054334866
2011,4541.0,321.9514285714285,166.03478260869565,365,0.5609635577516986
2012,5922.0,323.79213483146066,163.45352112676056,366,1.3041180356749615
2013,2324.0,345.9208211143695,185.36283185840708,365,0.39243498817966904
2014,2725.0,338.70520231213874,182.8410404624277,362,1.1725473321858864
2015,4444.0,337.4630681818182,182.23011363636363,365,1.6308256880733945
2016,5746.0,335.19830028328613,190.23512747875355,366,1.292979297929793
2017,3414.0,341.6160458452722,183.39306358381504,365,0.5941524538809607
2018,3384.0,337.2931034482759,179.72254335260115,365,0.9912126537785588
2019,7742.0,332.4454022988506,180.3400576368876,365,2.287825059101655
2020,2957.0,368.4,238.94505494505492,91,0.3819426504779127
2021,930.0,,,197,0.3145079472438282
2022,3686.0,,,324,3.9634408602150537
2023,4341.0,,,347,1.177699403147043
