DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,7029.0,,,366,1.0
2001,7664.0,,,365,1.0903400199174846
2002,5698.0,,,365,0.7434759916492694
2003,7494.0,,,365,1.315198315198315
2004,7796.0,,,366,1.0402989057912997
2005,7379.0,118.4921875,35.52991452991453,365,0.9465110312981015
2006,7251.0,118.343653250774,25.962199312714777,365,0.9826534760807698
2007,6378.0,121.32228915662652,38.358108108108105,365,0.8796028134050475
2008,7881.0,106.51898734177216,30.882075471698112,366,1.235653809971778
2009,6527.0,110.70710059171596,31.964052287581698,364,0.8281943915746732
2010,6236.0,111.76488095238096,29.373417721518987,361,0.9554159644553394
2011,2323.0,65.46766169154229,-14.548913043478262,225,0.37251443232841563
2012,3970.0,56.2463768115942,-19.109375,230,1.7089969866551873
2013,2556.0,42.16571428571429,-31.557692307692307,199,0.6438287153652393
2014,3490.0,111.24242424242424,20.76153846153846,324,1.365414710485133
2015,4045.0,131.3720238095238,37.1498127340824,362,1.159025787965616
2016,2804.0,95.10743801652892,16.12264150943396,275,0.6932014833127318
2017,2752.0,85.39823008849558,11.403061224489797,253,0.9814550641940085
2018,2539.0,105.73282442748092,19.669683257918557,291,0.9226017441860465
2019,2606.0,116.12605042016808,29.09523809523809,271,1.0263883418668767
2020,1305.0,115.54545454545456,37.34554973821989,231,0.5007674597083653
2021,2738.0,116.39914163090128,25.06422018348624,279,2.0980842911877393
2022,3831.0,116.61702127659576,27.87550200803213,318,1.3991964937910883
2023,5122.0,133.78523489932886,46.2619926199262,349,1.3369877316627512
