DATE,PRCP,NROWS,MULT
2000,7008,366,1.0
2001,6855,365,0.978167808219178
2002,6032,365,0.8799416484318016
2003,5055,365,0.8380305039787799
2004,6772,366,1.3396636993076163
2005,7505,365,1.1082398109864147
2006,6827,365,0.9096602265156563
2007,7915,365,1.1593672183975392
2008,7641,366,0.9653821857233101
2009,5668,365,0.7417877241198796
2010,5523,365,0.9744177840508116
2011,8380,365,1.5172913271772588
2012,10215,366,1.2189737470167064
2013,7012,364,0.686441507586882
2014,7066,365,1.0077010838562463
2015,7568,365,1.071044438154543
2016,6276,366,0.8292811839323467
2017,7657,365,1.220044614404079
2018,5009,365,0.6541726524748596
2019,6938,365,1.385106807746057
2020,9736,366,1.4032862496396656
2021,6901,365,0.7088126540673788
2022,8114,365,1.1757716273003913
2023,8173,365,1.007271382795169
