DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,8652.0,175.9016393442623,88.7103825136612,366,1.0
2001,7328.0,166.57260273972602,85.35068493150685,365,0.8469717984281091
2002,10554.0,171.53972602739725,87.47123287671234,365,1.4402292576419213
2003,6034.0,184.186301369863,89.52876712328766,365,0.5717263596740573
2004,7484.0,165.20491803278688,82.11475409836065,366,1.2403049386808087
2005,6536.0,165.16712328767125,80.16438356164383,365,0.8733297701763763
2006,8224.0,174.64109589041095,89.63835616438357,365,1.2582619339045287
2007,8186.0,167.34520547945206,85.14794520547945,365,0.9953793774319066
2008,9248.0,164.40437158469945,82.93989071038251,366,1.1297336916687026
2009,6883.0,173.93698630136987,86.01369863013699,365,0.7442690311418685
2010,8062.0,157.78630136986305,77.62465753424658,365,1.1712915879703618
2011,7859.0,179.06575342465754,90.46027397260274,365,0.9748201438848921
2012,9619.0,168.18032786885246,86.4535519125683,366,1.2239470670568775
2013,10343.0,158.12876712328767,81.69589041095891,365,1.0752676993450463
2014,10910.0,178.75616438356164,96.04931506849314,365,1.0548196848109832
2015,7186.0,181.72876712328767,91.46575342465754,365,0.6586617781851513
2016,7986.0,169.58196721311475,87.51366120218579,366,1.111327581408294
2017,6132.0,178.27945205479452,88.24383561643836,365,0.7678437265214124
2018,7485.0,184.5095890410959,98.08493150684932,365,1.2206457925636007
2019,8199.0,182.24109589041092,92.43013698630136,365,1.0953907815631263
2020,7957.0,187.8688524590164,96.64754098360656,366,0.9704842053909013
2021,9998.0,167.17808219178082,84.6,365,1.2565037074274223
2022,6971.0,192.413698630137,100.4986301369863,365,0.6972394478895779
2023,7907.0,190.92876712328768,102.42739726027398,365,1.1342705494190217
