DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,8139.0,137.91256830601094,62.63387978142077,366,1.0
2001,9438.0,129.78082191780825,56.37808219178082,365,1.159601916697383
2002,9661.0,136.78082191780825,59.61917808219178,365,1.0236278872642508
2003,7314.0,139.23287671232876,49.24383561643835,365,0.7570644860780458
2004,9125.0,134.4262295081967,58.44535519125683,366,1.247607328411266
2005,8521.0,135.24657534246575,55.989041095890414,365,0.9338082191780822
2006,7103.0,142.27397260273972,61.46849315068493,365,0.8335876070883699
2007,9149.0,144.3835616438356,63.35890410958904,365,1.288047303956075
2008,7323.0,141.70491803278688,59.32786885245902,366,0.800415345939447
2009,6723.0,141.87671232876713,55.96986301369863,365,0.9180663662433429
2010,7295.0,123.11506849315067,39.78356164383562,365,1.0850810650007436
2011,7138.0,146.1150684931507,57.99178082191781,365,0.9784784098697739
2012,6746.0,140.41525423728814,55.66949152542373,365,0.9450826562062202
2013,6662.0,131.58904109589042,49.47945205479452,365,0.9875481766973021
2014,6997.0,152.78082191780825,67.3945205479452,365,1.0502851996397478
2015,7419.0,144.16986301369863,59.07671232876712,365,1.0603115620980421
2016,6519.0,142.21857923497268,57.07103825136612,366,0.8786898503841488
2017,9460.0,141.3041095890411,59.55616438356165,365,1.4511428133149256
2018,4834.0,155.03835616438357,61.18904109589041,365,0.5109936575052854
2019,7183.0,151.33150684931508,61.83835616438356,365,1.4859329747621017
2020,6780.0,154.30601092896174,63.69398907103825,366,0.9438953083669775
2021,7394.0,140.77260273972604,58.67671232876712,365,1.0905604719764013
2022,6723.0,156.6,61.8027397260274,365,0.909250743846362
2023,11242.0,151.75068493150684,68.91506849315068,365,1.6721701621300016
