DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,1979.0,229.2875,130.2439024390244,349,1.0
2001,1840.0,229.71692307692308,132.08391608391608,351,0.9297625063163214
2002,2854.0,218.54225352112675,132.26254826254825,358,1.5510869565217391
2003,2375.0,242.3963133640553,147.6548223350254,265,0.8321653819201121
2004,5439.0,220.8988326848249,132.32512315270935,277,2.2901052631578946
2005,7989.0,218.93659942363112,119.8988326848249,365,1.4688361831218975
2006,5078.0,230.83018867924528,133.65346534653466,365,0.6356239829765928
2007,4922.0,225.4199395770393,126.5589519650655,365,0.9692792437967703
2008,4810.0,222.7765363128492,137.11184210526315,366,0.9772450223486387
2009,5442.0,220.60333333333327,142.36708860759492,365,1.1313929313929314
2010,5660.0,214.6530612244898,143.71830985915494,365,1.0400588019110621
2011,6172.0,219.4018691588785,146.57603686635946,365,1.0904593639575972
2012,4050.0,222.0311526479751,142.3684210526316,366,0.6561892417368762
2013,6754.0,217.2101910828025,132.95192307692307,365,1.6676543209876544
2014,6379.0,229.57728706624604,143.9724770642202,357,0.9444773467574771
2015,4561.0,235.66666666666663,137.73953488372092,361,0.715002351465747
2016,4522.0,230.8653846153846,142.68669527896995,366,0.9914492435869326
2017,4418.0,231.26384364820848,135.2755905511811,365,0.9770013268465281
2018,3520.0,240.66257668711657,141.46341463414635,364,0.7967406066093254
2019,5186.0,241.46296296296296,141.4306049822064,365,1.4732954545454546
2020,6471.0,239.7859531772575,137.3186813186813,366,1.2477824913227922
2021,3621.0,235.575,144.12765957446808,357,0.559573481687529
2022,4366.0,239.19205298013244,132.51351351351352,364,1.2057442695388014
2023,3992.0,223.2255639097744,129.38181818181818,343,0.9143380668804397
