DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,1322.0,78.12292358803987,-87.95360824742268,359,1.0
2001,887.0,70.1613924050633,-87.11650485436893,360,0.6709531013615734
2002,1654.0,72.19587628865979,-82.29444444444445,364,1.8647125140924465
2003,1777.0,81.05245901639344,-92.03783783783784,359,1.0743651753325272
2004,2134.0,101.182119205298,-89.03061224489795,365,1.200900393922341
2005,1563.0,65.7183908045977,-94.38235294117646,365,0.732427366447985
2006,853.0,79.35045317220543,-87.20772946859903,365,0.5457453614843251
2007,1580.0,93.07803468208093,-64.12,361,1.8522860492379836
2008,1506.0,87.9796511627907,-82.50256410256411,363,0.9531645569620253
2009,1990.0,69.1264367816092,-99.77777777777776,365,1.3213811420982735
2010,1495.0,68.14985590778097,-99.52791878172587,365,0.7512562814070352
2011,2019.0,70.65142857142857,-87.84729064039409,365,1.3505016722408028
2012,2524.0,60.26857142857143,-100.10994764397904,366,1.2501238236750867
2013,3106.0,57.19428571428571,-90.5223880597015,365,1.2305863708399367
2014,1321.0,80.77620396600567,-68.69902912621359,364,0.4253058596265293
2015,1857.0,79.97714285714285,-74.44761904761904,365,1.4057532172596519
2016,1561.0,70.58571428571429,-76.56218905472637,366,0.8406031233171782
2017,797.0,77.18713450292398,-82.30046948356808,365,0.5105701473414478
2018,3119.0,76.9031339031339,-82.25373134328358,363,3.9134253450439145
2019,2499.0,92.63276836158192,-82.32275132275132,365,0.8012183392112857
2020,1920.0,80.24929178470255,-71.24509803921569,366,0.7683073229291717
2021,2519.0,83.98567335243553,-79.10204081632654,360,1.3119791666666667
2022,1546.0,76.973293768546,-95.44791666666669,365,0.6137356093687971
2023,1337.0,89.30745341614907,-72.65957446808511,365,0.8648124191461837
