DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,3797.0,200.39071038251367,69.63934426229508,366,1.0
2001,6696.0,187.06301369863013,71.37534246575342,365,1.7634974980247564
2002,6626.0,186.4958904109589,76.01369863013699,365,0.9895459976105138
2003,5397.0,187.06027397260277,67.74246575342465,365,0.814518563235738
2004,7563.0,180.792349726776,69.72131147540983,366,1.4013340744858254
2005,7310.0,172.7890410958904,63.2027397260274,365,0.9665476662699987
2006,6204.0,184.25479452054796,66.86027397260274,365,0.8487004103967168
2007,6003.0,200.3041095890411,79.07397260273973,365,0.9676015473887815
2008,6191.0,200.103825136612,76.4672131147541,366,1.0313176744960852
2009,7106.0,188.78082191780825,74.62191780821918,365,1.147795186561137
2010,6777.0,186.6904109589041,79.58082191780822,365,0.953701097663946
2011,4118.0,182.6109589041096,68.62739726027397,365,0.607643500073779
2012,6312.0,192.63661202185796,72.30327868852459,366,1.5327829043224865
2013,5818.0,192.33698630136988,78.63287671232877,365,0.9217363751584284
2014,9502.0,189.1945205479452,83.6109589041096,365,1.6332072877277415
2015,5878.0,189.8904109589041,77.94794520547946,365,0.6186066091349189
2016,7710.0,185.31420765027323,75.40437158469945,366,1.3116706362708404
2017,6085.0,190.66301369863007,73.87945205479453,365,0.7892347600518806
2018,6438.0,210.672131147541,88.0,365,1.058011503697617
2019,5156.0,209.12027491408932,73.33333333333333,365,0.8008698353525939
2020,6468.0,201.65771812080536,75.65934065934066,366,1.2544608223429015
2021,6713.0,191.5890410958904,74.30958904109589,365,1.0378787878787878
2022,5545.0,203.8238993710692,76.25925925925925,365,0.8260092358111127
2023,7538.0,209.31399317406144,75.19318181818181,365,1.3594229035166816
