DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,2645.0,68.6775956284153,-90.40163934426228,366,1.0
2001,2828.0,73.78356164383561,-79.9041095890411,365,1.069187145557656
2002,3412.0,79.48493150684932,-69.84383561643835,365,1.2065063649222065
2003,3970.0,76.77808219178083,-77.67123287671232,365,1.1635404454865181
2004,1844.0,84.48087431693989,-74.27322404371584,366,0.46448362720403025
2005,3230.0,78.16438356164383,-76.53972602739726,365,1.7516268980477223
2006,2277.0,69.21095890410959,-88.74794520547945,365,0.704953560371517
2007,2143.0,97.64931506849317,-68.37260273972603,365,0.9411506368028107
2008,3800.0,80.17486338797814,-68.97267759562841,366,1.7732151189920673
2009,3150.0,63.827397260273976,-89.4876712328767,365,0.8289473684210527
2010,3909.0,57.04657534246575,-87.30410958904109,365,1.240952380952381
2011,3687.0,77.3013698630137,-78.58904109589041,365,0.943207981580967
2012,3578.0,56.39071038251366,-90.551912568306,366,0.9704366693788988
2013,2943.0,65.96164383561644,-80.99178082191781,365,0.8225265511458916
2014,2272.0,84.87397260273973,-80.74794520547945,365,0.7720013591573225
2015,3837.0,78.40547945205479,-76.16712328767123,365,1.6888204225352113
2016,2556.0,66.46174863387978,-76.02732240437159,366,0.6661454261141517
2017,2840.0,78.85479452054794,-75.12602739726027,365,1.1111111111111112
2018,4679.0,73.13424657534246,-70.53150684931506,365,1.6475352112676056
2019,3294.0,78.6067415730337,-103.6206896551724,365,0.7039965804659115
2020,3924.0,80.00854700854701,-82.58333333333333,366,1.1912568306010929
2021,3437.0,69.53293413173652,-83.8232558139535,361,0.8758919469928644
2022,3837.0,67.87106017191977,-99.69651741293532,354,1.1163805644457376
2023,1918.0,78.86894586894587,-105.88059701492536,365,0.49986968986187125
