DATE,PRCP,NROWS,MULT
2000,7277.0,366,1.0
2001,6562.0,365,0.9017452246805002
2002,8932.0,365,1.3611703748857056
2003,6341.0,365,0.7099193909538737
2004,12369.0,366,1.9506387005204227
2005,7000.0,365,0.5659309564233164
2006,6521.0,365,0.9315714285714286
2007,8250.0,365,1.2651433829167305
2008,6998.0,366,0.8482424242424242
2009,9051.0,365,1.293369534152615
2010,8695.0,365,0.9606673295768423
2011,4521.0,365,0.5199539965497413
2012,6672.0,351,1.475779694757797
2013,6002.0,303,0.8995803357314148
2014,4788.0,227,0.7977340886371209
2015,14539.0,365,3.0365497076023393
2016,11887.0,366,0.8175940573629548
2017,7563.0,365,0.6362412719777909
2018,9747.0,365,1.2887742959143198
2019,7797.0,365,0.7999384425977224
2020,10684.0,366,1.3702706169039374
2021,7584.0,365,0.7098464994384126
2022,6061.0,365,0.7991824894514767
2023,6410.0,365,1.0575812572182808
