DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,7034.0,106.65479452054797,-30.065753424657533,366,1.0
2001,6171.0,105.0027397260274,-32.10958904109589,365,0.8773102075632642
2002,5724.0,108.21917808219176,-45.09615384615385,365,0.9275644141954302
2003,6732.0,105.63013698630137,-65.91232876712328,365,1.1761006289308176
2004,7748.0,80.10876132930514,-66.86706948640483,366,1.1509209744503863
2005,7802.0,92.81944444444444,-25.33055555555556,365,1.0069695405265875
2006,8218.0,91.91780821917808,-26.35890410958904,365,1.0533196616252243
2007,7657.0,97.2087912087912,-25.703296703296704,365,0.9317352153808712
2008,7221.0,87.00821917808219,-34.28767123287671,366,0.9430586391537156
2009,6761.0,88.53221288515407,-31.574229691876752,365,0.9362969117850714
2010,7065.0,94.23415977961432,-28.27823691460055,365,1.0449637627569885
2011,6331.0,54.3185595567867,-49.053872053872055,365,0.8961075725406935
2012,4379.0,107.96685082872928,-21.62707182320442,366,0.6916758805875849
2013,5818.0,87.77260273972603,-34.81318681318681,365,1.3286138387759763
2014,5211.0,85.56712328767124,-28.61917808219178,365,0.8956686146442077
2015,6482.0,90.9835616438356,-21.572602739726022,365,1.243907119554788
2016,5033.0,96.59836065573772,-22.095628415300546,366,0.7764578833693304
2017,7294.0,100.92328767123288,-13.882191780821918,365,1.4492350486787204
2018,3964.0,102.32602739726028,-20.24383561643836,365,0.5434603783931999
2019,6563.0,92.42857142857144,-29.14835164835165,365,1.6556508577194753
2020,3815.0,108.22950819672133,-19.80054644808743,366,0.5812890446442176
2021,5626.0,100.24657534246576,-20.432876712328767,365,1.474705111402359
2022,6941.0,82.3875,-35.74375,365,1.2337362246711696
2023,5189.0,94.41917808219178,-26.301369863013697,365,0.7475868030543149
