DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,9447.0,64.2986301369863,-28.256830601092897,366,1.0
2001,7367.0,72.67397260273972,-14.506849315068491,365,0.7798242828411136
2002,8910.0,57.0,-30.194520547945206,365,1.2094475363105741
2003,10517.0,71.81917808219178,-15.307692307692308,365,1.1803591470258137
2004,9912.0,65.22131147540983,-17.991803278688526,366,0.9424740895692688
2005,11581.0,68.67671232876712,-17.59178082191781,365,1.1683817594834545
2006,9794.0,78.43013698630136,-14.673972602739726,365,0.8456955357913825
2007,10008.0,78.35068493150685,-15.087912087912088,365,1.0218501123136614
2008,11836.0,65.52732240437159,-29.704918032786885,366,1.1826538768984811
2009,10183.0,65.01369863013699,-26.068493150684933,365,0.8603413315309226
2010,12852.0,71.2027397260274,-18.53972602739726,365,1.2621035058430718
2011,11915.0,67.82465753424657,-22.96986301369863,365,0.9270930594460006
2012,10747.0,81.95901639344262,-9.524590163934429,366,0.901972303818716
2013,11380.0,71.26027397260275,-17.2,365,1.0589001581836792
2014,12045.0,69.35890410958905,-19.39452054794521,365,1.0584358523725834
2015,9585.0,84.6,-4.1945205479452055,365,0.7957658779576587
2016,10701.0,79.83333333333333,-6.702185792349726,366,1.116431924882629
2017,12460.0,79.06849315068493,-12.6986301369863,365,1.1643771610129894
2018,12331.0,72.84657534246575,-16.35890410958904,365,0.9896468699839487
2019,10473.0,65.46153846153847,-23.62912087912088,365,0.8493228448625416
2020,9505.0,73.32786885245902,-15.109289617486338,366,0.9075718514274802
2021,8158.0,79.27123287671233,-10.895890410958904,365,0.8582851130983693
2022,10499.0,70.98630136986301,-19.92328767123288,365,1.2869575876440305
2023,10727.0,73.1978021978022,-9.846153846153848,365,1.0217163539384704
