DATE,PRCP,NROWS,MULT
2000,7106,366,1.0
2001,7734,365,1.0883760202645651
2002,4723,365,0.6106801137832946
2003,7302,365,1.5460512386195215
2004,7668,366,1.0501232539030403
2005,6394,365,0.8338549817423057
2006,4861,365,0.7602439787300594
2007,6756,365,1.3898374819995885
2008,8802,366,1.302841918294849
2009,7328,365,0.8325380595319246
2010,7135,365,0.9736626637554585
2011,6023,365,0.8441485634197617
2012,8851,366,1.4695334550888262
2013,5893,365,0.6658004745226528
2014,6570,365,1.1148820634651282
2015,5700,365,0.867579908675799
2016,8265,366,1.45
2017,6805,365,0.82335148215366
2018,4616,364,0.6783247612049963
2019,5767,365,1.2493500866551126
2020,7875,366,1.3655280041616091
2021,5669,365,0.7198730158730159
2022,5460,365,0.9631328276591992
2023,6103,335,1.1177655677655678
