DATE,PRCP,NROWS
1980,39422,366
1981,31854,365
1982,30106,365
1983,23926,365
1984,24776,366
1985,32920,365
1986,31152,365
1987,18150,365
1988,27299,366
1989,26053,365
1990,32948,365
1991,32810,365
1992,28072,366
1993,29907,365
1994,25103,365
1995,23611,365
1996,29799,366
1997,23744,365
1998,15815,365
1999,38640,365
2000,33552,366
2001,29345,365
2002,35863,365
2003,24771,365
2004,27765,366
2005,35962,365
2006,27967,365
2007,34956,365
2008,25725,366
2009,28089,365
2010,33101,365
2011,30725,365
2012,33837,365
2013,30125,365
2014,33236,365
2015,18090,363
2016,28912,366
2017,33142,363
2018,34806,359
2019,36683,363
2020,33351,366
2021,30602,363
2022,25907,363
