DATE,PRCP,NROWS
1980,18402,366
1981,16009,365
1982,18425,365
1983,16614,363
1984,17514,366
1985,18287,365
1986,19731,365
1987,10186,365
1988,17509,366
1989,22523,365
1990,14695,365
1991,15540,365
1992,6284,335
1993,15896,353
1994,11330,363
1995,11385,362
1996,17141,366
1997,15411,365
1998,8717,365
1999,23901,359
2000,25539,360
2001,16003,364
2002,17142,357
2003,15738,360
2004,14830,360
2005,14557,348
2006,14746,359
2007,27129,361
2008,23618,366
2009,23825,361
2010,12795,365
2011,21555,285
2012,28485,366
2013,18700,348
2014,17145,365
2015,14895,365
2016,18675,366
2017,15530,332
2018,24805,365
2019,17615,365
2020,15210,366
2021,15950,324
2022,26110,360
