DATE,PRCP,TMAX,TMIN,NROWS
1991,23042.0,296.4904761904762,241.4009433962264,214
1992,22359.0,295.5886524822695,242.5,335
1993,29346.0,292.9782608695652,240.3167701863354,365
1994,26162.0,297.94099378881987,239.8944099378882,365
1995,21813.0,299.4695945945946,239.375,360
1996,32810.0,304.98765432098764,239.64906832298138,366
1997,21538.0,303.90849673202615,243.10169491525423,365
1998,21876.0,302.69871794871796,236.66773162939296,365
1999,32237.0,298.621776504298,238.98280802292263,365
2000,33301.0,301.25753424657535,238.36712328767123,366
2001,24961.0,304.1118421052632,244.41118421052633,365
2002,26370.0,306.1476923076923,244.3323076923077,365
2003,27876.0,305.859872611465,245.36942675159236,335
2004,7687.0,299.7888888888889,244.24444444444444,152
2005,25643.0,,,304
2006,29887.0,,,365
2007,34991.0,,,365
2008,22761.0,286.2258064516129,238.19354838709677,336
2009,30233.0,295.27152317880797,241.03311258278146,365
2010,22950.0,306.513353115727,245.34718100890208,337
2011,43930.0,304.94520547945206,239.46575342465752,365
2012,5469.0,303.3719008264463,240.4793388429752,121
2013,10453.0,,,123
2014,34171.0,,,365
2015,28413.0,,,333
2016,23720.0,,,335
2017,35751.0,,,333
2018,31576.0,,,329
2019,31291.0,,,355
2020,32071.0,,,366
2021,37058.0,,,365
2022,38958.0,,,365
2023,38600.0,,,365
2024,12184.0,,,213
