DATE,PRCP,TMAX,TMIN,NROWS
1976,673.0,305.6,219.56521739130434,36
1977,1888.0,315.0,225.0909090909091,85
1978,15.0,345.0,231.25,9
1988,0.0,,196.5,2
1990,2382.0,319.7173913043478,225.97260273972603,86
1991,10198.0,318.43243243243245,229.35135135135135,93
1992,2090.0,329.41379310344826,227.02272727272728,56
1993,2506.0,321.74074074074076,226.12820512820514,94
1994,4011.0,331.72340425531917,222.41176470588235,88
1995,643.0,335.12,229.69565217391303,48
1996,376.0,316.26666666666665,221.82758620689654,31
1997,5651.0,325.34375,222.62820512820514,122
1998,4100.0,326.3382352941176,222.76388888888889,92
1999,0.0,338.9166666666667,215.7058823529412,23
2000,456.0,322.7647058823529,223.6315789473684,23
2001,15.0,351.0,229.0,15
2002,797.0,349.57575757575756,230.125,38
2003,5235.0,323.75471698113205,225.05309734513276,132
2004,2031.0,333.2597402597403,230.12820512820514,86
2005,3651.0,325.78761061946904,229.14545454545456,122
2006,1461.0,335.425,224.70731707317074,43
2007,99.0,347.0,218.33333333333334,3
2008,630.0,319.9047619047619,230.1818181818182,28
2009,4428.0,324.1527093596059,230.92741935483872,243
2010,4754.0,327.64596273291926,234.2846153846154,224
2011,3393.0,324.2151898734177,228.13253012048193,142
2013,1822.0,328.7142857142857,229.78846153846155,161
2014,5598.0,319.03125,232.34782608695653,175
2015,2987.0,324.47297297297297,232.38,168
2016,6662.0,329.285,237.01775147928993,279
2017,7258.0,329.1856540084388,236.275,319
2018,12345.0,328.34901960784316,236.4232365145228,331
2019,11531.0,330.2570281124498,238.38132295719845,351
2020,8759.0,330.5857142857143,237.62825278810408,347
2021,10427.0,331.630081300813,239.9915611814346,300
2022,12753.0,326.3538461538462,234.36437246963564,308
2023,17190.0,328.20578778135047,237.13968253968255,360
2024,9518.0,334.9759036144578,240.22633744855966,285
