DATE,PRCP,TMAX,TMIN,NROWS
1947,6160.0,127.3890410958904,36.18082191780822,365
1948,6930.0,124.88251366120218,42.54644808743169,366
1949,4556.0,129.57260273972602,42.63013698630137,365
1950,7876.0,123.10684931506849,40.057534246575344,365
1951,6160.0,124.65205479452055,41.98082191780822,365
1952,8440.0,115.80601092896175,37.19945355191257,366
1953,4766.0,131.23013698630137,41.83287671232877,365
1954,8487.0,108.3945205479452,29.095890410958905,365
1955,5479.0,137.68300653594773,38.450980392156865,306
1956,6613.0,109.71311475409836,13.685792349726777,366
1957,6237.0,126.73698630136987,31.575342465753426,365
1958,8099.0,123.9068493150685,32.652054794520545,365
1959,5571.0,140.8876712328767,30.326027397260273,365
1960,6108.0,128.327868852459,36.849726775956285,366
1961,5610.0,135.4027397260274,38.276712328767125,365
1962,5906.0,118.56712328767124,19.161643835616438,365
1963,5921.0,121.04657534246576,20.123287671232877,365
1964,4877.0,124.93442622950819,26.718579234972676,366
1965,8592.0,117.40821917808219,30.073972602739726,365
1966,10475.0,128.2876712328767,43.50684931506849,365
1967,6655.0,132.72328767123287,39.87671232876713,365
1968,7581.0,122.60655737704919,35.54644808743169,366
1969,6476.0,124.96438356164384,31.517808219178082,365
1970,9010.0,119.94246575342466,33.75342465753425,365
1971,5561.0,133.39178082191782,30.70958904109589,365
1972,5265.0,122.95628415300547,28.907103825136613,366
1973,6835.0,126.96712328767123,30.791780821917808,365
1974,7884.0,131.18356164383562,44.56164383561644,365
1975,7176.0,132.81917808219177,42.89041095890411,365
1976,5203.0,135.65300546448088,34.87431693989071,366
1977,7783.0,130.54246575342466,44.76712328767123,365
1978,7393.0,118.92054794520548,35.42191780821918,365
1979,7290.0,126.83835616438355,35.632876712328766,365
1980,7205.0,118.27049180327869,33.202185792349724,366
1981,9687.0,126.09041095890412,39.11232876712329,365
1982,5990.0,136.66575342465754,39.38630136986301,365
1983,6589.0,140.04657534246576,40.36986301369863,365
1984,8037.0,119.1639344262295,32.83606557377049,366
1985,6732.0,119.43013698630136,22.695890410958903,365
1986,7583.0,125.06575342465753,29.884931506849316,365
1987,7269.0,116.45753424657535,28.542465753424658,365
1988,7725.0,131.63661202185793,46.204918032786885,366
1989,5461.0,136.1068493150685,44.73150684931507,365
1990,6508.0,139.2821917808219,41.57260273972603,365
1991,4643.0,128.06027397260274,30.97808219178082,365
1992,6532.0,137.4207650273224,47.35245901639344,366
1993,7065.0,131.1123287671233,38.608219178082194,365
1994,6532.0,146.22739726027396,53.35068493150685,365
1995,8877.0,131.31506849315068,45.50958904109589,365
1996,5969.0,116.23224043715847,29.631147540983605,366
1997,5589.0,136.33698630136988,38.14794520547945,365
1998,7741.0,133.98356164383563,44.3013698630137,365
1999,7378.0,132.80547945205478,44.16712328767123,365
2000,6131.0,139.9344262295082,48.959016393442624,366
2001,8557.0,134.4082191780822,45.15890410958904,365
2002,11052.0,134.93150684931507,45.86027397260274,365
2003,5125.0,147.16164383561645,36.35616438356164,365
2004,6927.0,143.28961748633878,49.40163934426229,366
2005,7018.0,134.05753424657533,32.78904109589041,365
2006,7188.0,140.9972602739726,39.942465753424656,365
2007,7998.0,145.87671232876713,44.26027397260274,365
2008,6175.0,141.86885245901638,42.13387978142077,366
2009,6550.0,137.9808219178082,38.88493150684931,365
2010,7354.0,125.23013698630137,28.268493150684932,365
2011,7948.0,146.37534246575342,39.64109589041096,365
2012,6384.0,142.71311475409837,38.322404371584696,366
2013,6971.0,132.36164383561643,43.0958904109589,365
2014,5871.0,151.6986301369863,50.534246575342465,365
2015,5470.0,152.5945205479452,46.772602739726025,365
2016,6954.0,142.65300546448088,43.4344262295082,366
2017,6469.0,144.48219178082192,42.57808219178082,365
2018,5454.0,163.47123287671232,49.416438356164385,365
2019,5930.0,157.62465753424658,46.20821917808219,365
2020,6501.0,153.3551912568306,46.96448087431694,366
2021,7483.0,141.17260273972602,40.295890410958904,365
2022,6479.0,161.01643835616437,48.07123287671233,365
2023,7115.0,158.26301369863015,54.084931506849315,365
2024,5292.0,180.30737704918033,66.93852459016394,244
