DATE,PRCP,TMAX,TMIN,NROWS
1956,8982.0,214.52185792349727,139.07103825136613,366
1957,6929.0,212.9917808219178,141.9890410958904,365
1958,7900.0,217.08219178082192,146.23013698630137,365
1959,6684.0,211.53698630136986,137.7178082191781,365
1960,7113.0,221.69945355191257,145.8879781420765,366
1961,8972.0,220.57534246575344,143.986301369863,365
1962,9341.0,220.62465753424658,146.413698630137,365
1963,10342.0,219.61917808219178,148.6027397260274,365
1964,4697.0,212.89071038251367,142.75409836065575,366
1965,7305.0,210.04383561643834,138.92602739726027,365
1966,6687.0,216.7013698630137,146.81917808219177,365
1967,5628.0,215.0054794520548,141.48219178082192,365
1968,6948.0,215.43169398907105,140.56284153005464,366
1969,6909.0,212.26849315068492,141.83835616438355,365
1970,5545.0,210.2027397260274,140.73698630136985,365
1971,5744.0,211.06301369863013,138.63561643835615,365
1972,5636.0,205.9398907103825,140.8360655737705,366
1973,8455.0,216.20606060606062,149.46223564954684,365
1974,7618.0,205.33698630136988,137.16986301369863,365
1975,7061.0,205.5945205479452,134.77777777777777,365
1976,6253.0,202.69398907103826,136.27322404371586,366
1977,4013.0,211.16712328767125,141.85205479452054,365
1978,7572.0,205.58356164383562,137.4191780821918,365
1979,7207.0,210.86027397260273,144.1041095890411,365
1980,7673.0,204.70491803278688,136.86338797814207,366
1981,7733.0,210.62465753424658,138.33424657534246,365
1982,7531.0,211.8958904109589,136.52602739726026,365
1983,5899.0,208.48767123287672,134.47123287671232,365
1984,6356.0,208.83879781420765,134.07650273224044,366
1985,6227.0,214.2986301369863,138.00275482093664,365
1986,10173.0,214.8,137.5041095890411,365
1987,7466.0,211.0109589041096,135.6958904109589,365
1988,9631.0,215.84699453551912,140.04371584699453,366
1989,4030.0,212.25753424657535,131.32054794520548,365
1990,7423.0,217.32876712328766,138.52602739726026,365
1991,6024.0,208.1123287671233,130.3178082191781,365
1992,4599.0,208.3169398907104,131.71584699453553,366
1993,5335.0,211.07671232876712,134.13424657534247,365
1994,6201.0,219.2931506849315,143.82191780821918,365
1995,5756.0,213.44109589041096,137.2219178082192,365
1996,8937.0,210.35792349726776,135.69398907103826,366
1997,6291.0,211.36438356164385,135.95068493150686,365
1998,6677.0,216.56438356164384,139.24175824175825,365
1999,7292.0,219.63835616438357,146.3095890410959,365
2000,5961.0,217.24590163934425,138.4262295081967,366
2001,6803.0,222.2644376899696,143.34520547945206,365
2002,2246.0,220.0060606060606,142.7133956386293,365
2003,0.0,219.1238670694864,141.26934984520125,365
2004,4606.0,215.16666666666666,141.80864197530863,361
2005,3590.0,212.55192878338278,135.10216718266253,364
2006,4141.0,215.63963963963963,140.83679525222553,361
2007,7400.0,219.10882352941175,141.8920634920635,364
2008,6087.0,219.46511627906978,145.80434782608697,366
2009,9153.0,218.13924050632912,142.31649831649833,334
2010,4227.0,223.55232558139534,148.01796407185628,357
2011,5534.0,223.27692307692308,136.63311688311688,342
2012,2113.0,250.22568093385215,163.94782608695652,271
2013,2810.0,225.07986111111111,142.68770764119603,362
2014,5973.0,221.42105263157896,136.61971830985917,345
2015,678.0,227.3003300330033,134.89473684210526,357
2016,2438.0,233.64897959183673,151.5787037037037,330
2017,210.0,227.80729166666666,141.31976744186048,287
2018,3045.0,235.625,153.15648854961833,347
2019,3007.0,229.45,145.22413793103448,365
2020,1788.0,233.125,143.51481481481483,331
2021,391.0,232.73214285714286,145.88590604026845,353
2022,1503.0,224.78328173374612,142.92763157894737,360
2023,1527.0,211.2032967032967,121.8282208588957,191
