DATE,PRCP,TMAX,TMIN,NROWS
1945,22417.0,311.14325842696627,211.68802228412255,362
1946,22561.0,308.2352941176471,209.34794520547945,365
1947,18241.0,313.06424581005587,209.97260273972603,365
1948,18462.0,314.3469945355191,204.60382513661202,366
1949,18803.0,311.0794520547945,208.64657534246575,365
1950,22801.0,302.1232876712329,207.78082191780823,365
1951,24828.0,299.73972602739724,208.66575342465754,365
1952,21963.0,303.54371584699453,204.5846994535519,366
1953,24229.0,298.9917808219178,207.8931506849315,365
1954,24620.0,295.613698630137,203.65205479452055,365
1955,23286.0,299.5780821917808,201.15890410958903,365
1956,19918.0,299.786301369863,200.14207650273224,366
1957,22224.0,303.3489010989011,203.09065934065933,364
1958,17811.0,297.7164179104478,208.55223880597015,268
1975,0.0,299.5238095238095,192.72727272727272,24
1976,0.0,327.14285714285717,200.0,10
1977,282.0,311.6666666666667,212.0,19
1978,0.0,316.6666666666667,,8
1979,0.0,290.0,,2
1980,1104.0,294.4117647058824,206.89655172413794,55
1981,99.0,315.0,198.66666666666666,21
1982,7370.0,289.8,200.75,22
1983,811.0,302.5,205.11111111111111,16
1989,0.0,395.0,,2
1990,5.0,338.875,205.41666666666666,25
1991,2943.0,305.7241379310345,210.76,80
1992,4574.0,311.2361111111111,204.06410256410257,141
1993,6468.0,308.10833333333335,207.05940594059405,175
1994,17189.0,315.7401129943503,211.22935779816513,246
1995,500.0,323.656,,152
1996,991.0,317.38157894736844,,184
1997,0.0,344.5098039215686,,65
1998,0.0,315.75,,14
1999,0.0,320.70103092783506,210.33333333333334,115
2000,191.0,300.7096774193548,208.0,42
2001,0.0,318.7536231884058,203.57142857142858,89
2002,1080.0,322.1454545454545,209.6,83
2003,46.0,299.3058823529412,218.6,104
2004,2251.0,315.0792682926829,209.44,205
2005,684.0,312.24285714285713,214.21428571428572,166
2006,0.0,339.6,218.0,101
2007,0.0,296.4736842105263,,20
2009,0.0,347.5,,2
2012,0.0,342.5,,2
2013,0.0,306.9166666666667,,13
2014,0.0,295.85714285714283,,8
2015,0.0,324.54545454545456,,12
2016,0.0,301.0,,13
2017,0.0,351.6666666666667,255.0,7
2022,5320.0,297.81481481481484,209.16901408450704,84
2023,7525.0,319.2621359223301,218.95901639344262,157
2024,2865.0,328.7176470588235,225.94202898550725,104
