DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,13109,117.47540983606558,52.959016393442624,366,1.0
2001,12775,108.82191780821918,41.9972602739726,365,0.9745213212296895
2002,13385,118.9945205479452,49.032876712328765,365,1.0477495107632093
2003,8369,123.84383561643835,48.06849315068493,365,0.6252521479267837
2004,10610,109.30601092896175,41.36338797814208,366,1.2677739275899151
2005,11303,105.57534246575342,40.0958904109589,365,1.065315739868049
2006,11120,118.8027397260274,46.9013698630137,365,0.9838096080686544
2007,12970,118.11780821917807,48.87397260273973,365,1.16636690647482
2008,10406,117.60382513661202,45.11748633879781,366,0.8023130300693909
2009,10300,116.03287671232876,45.79726027397261,365,0.989813569094753
2010,11435,100.86575342465754,34.11780821917808,365,1.1101941747572817
2011,12469,127.07123287671232,50.10410958904109,365,1.0904241364232619
2012,11972,117.10928961748634,43.23770491803279,366,0.9601411500521293
2013,12330,107.27397260273972,39.8,365,1.0299031072502507
2014,10578,126.7972602739726,55.06849315068493,365,0.8579075425790754
2015,10281,128.6054794520548,55.293150684931504,365,0.9719228587634714
2016,14058,121.36065573770492,49.33606557377049,366,1.3673767143274
2017,13764,120.75068493150684,46.97534246575343,365,0.9790866410584721
2018,10931,130.11780821917807,56.63013698630137,365,0.7941732054635281
2019,11593,127.48493150684932,52.65205479452055,365,1.0605617052419725
2020,12471,130.63387978142077,55.07103825136612,366,1.075735357543345
2021,11963,115.6082191780822,43.5013698630137,365,0.9592654959506054
2022,10994,133.85205479452054,58.72054794520548,365,0.9190002507732175
2023,13271,131.52328767123288,58.40821917808219,365,1.207112970711297
